1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,14
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,13
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0,17
0,2,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,1,2,3,1,3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,2,32
0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,0,1,1,1,2,1,1,0,0,0,2,1,1,0,0,1,1,1,2,0,1,0,0,0,0,30
1,1,1,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,1,3,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,2,0,32
0,0,2,0,3,2,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,3,3,1,2,1,0,1,1,0,0,1,2,0,3,0,1,0,0,1,1,2,2,0,0,39
1,3,0,0,0,1,1,1,0,0,1,0,0,4,1,1,1,2,1,0,2,1,1,2,1,2,1,3,3,2,2,2,0,1,0,4,1,0,0,1,0,2,0,0,1,0,2,1,0,0,53
6,1,1,1,0,1,0,0,3,1,2,0,2,4,2,3,0,2,0,0,0,0,1,3,1,0,0,3,0,2,6,1,1,2,3,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,59
3,1,3,3,2,0,2,0,2,3,0,1,1,0,0,1,1,0,1,2,0,1,0,1,0,2,3,3,2,0,0,2,3,0,0,2,2,0,1,0,0,1,2,0,1,0,0,3,0,0,55
4,2,2,1,2,0,0,1,0,0,1,0,1,0,1,1,1,2,1,0,0,0,1,1,1,1,1,2,0,2,1,1,3,0,0,0,1,2,1,3,2,0,0,2,0,2,0,0,1,2,50
1,4,1,3,1,0,2,1,1,2,0,1,1,0,1,1,1,1,1,0,1,0,1,2,4,0,1,5,5,2,1,1,3,1,1,0,0,1,0,2,0,2,0,1,4,0,2,1,1,2,67
3,1,3,2,2,0,1,3,1,1,1,1,3,0,1,0,1,1,2,3,0,0,1,0,4,4,0,5,3,1,1,4,3,1,0,1,0,1,1,4,1,1,1,1,5,1,3,0,0,3,80
1,2,3,3,0,1,2,0,0,2,0,4,1,2,3,0,3,2,1,0,2,0,5,2,2,1,1,2,1,2,1,1,1,2,2,1,0,2,2,1,1,6,0,1,1,1,2,2,0,2,77
7,1,2,3,0,2,0,2,1,0,0,1,2,3,2,0,2,0,2,3,3,2,1,1,3,4,0,3,5,4,2,0,0,1,2,1,2,4,0,1,0,1,4,1,2,3,0,2,1,2,88
1,2,3,4,0,3,2,0,3,2,3,1,1,3,1,1,1,4,2,1,5,0,2,5,1,1,2,2,1,2,0,1,1,4,2,5,1,1,1,1,5,0,0,1,0,1,2,1,4,1,91
2,1,0,6,2,1,0,1,6,0,0,4,1,1,1,3,1,0,3,1,3,1,0,1,2,1,4,0,2,5,2,2,2,0,1,1,2,1,1,0,3,0,2,2,1,3,0,3,0,1,80
5,4,5,3,0,1,2,0,2,1,0,0,0,0,1,1,1,1,1,3,2,4,2,1,0,3,3,5,2,2,4,2,2,1,2,2,2,2,0,1,1,2,1,1,4,1,0,1,0,3,87
7,2,4,5,2,4,1,2,2,0,2,1,2,2,0,1,1,1,1,3,1,1,5,0,1,1,3,3,3,8,0,0,1,1,1,1,2,2,2,0,2,1,2,3,3,2,2,1,1,1,97
3,1,3,6,1,2,0,2,1,4,3,4,3,0,1,2,2,0,3,6,0,2,1,0,2,0,3,2,4,2,2,1,1,2,1,2,4,2,2,2,3,2,0,0,2,1,4,1,1,4,100
4,4,1,9,2,1,2,1,3,1,2,0,0,3,0,0,3,4,1,1,1,3,0,0,1,2,8,5,1,7,2,1,1,3,0,2,6,2,2,3,1,2,1,2,0,1,2,1,1,0,103
3,2,4,8,1,1,2,0,2,3,1,0,1,1,2,2,1,2,2,2,0,3,3,0,1,2,3,7,1,4,0,2,3,2,3,3,4,2,3,2,5,2,1,2,1,0,2,1,3,4,109
2,3,2,7,2,0,2,0,0,2,3,3,3,3,2,1,2,1,3,3,4,1,1,1,2,1,5,4,5,6,3,4,2,2,0,1,2,3,2,2,5,1,0,4,1,2,3,3,1,0,115
