MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
1,39,270,274,2,287,287,287,1,39,1,Success,4
2,25,240,240,1,248,248,248,1,25,0,Success,0
3,3,392,392,1,400,400,400,1,3,0,Success,0
4,23,271,275,2,281,281,281,1,23,1,Success,5
5,3,389,393,2,401,401,401,1,3,1,Success,5
6,43,443,443,1,450,450,450,1,43,0,Success,5
7,34,280,280,1,295,295,295,1,34,0,Success,0
8,44,394,394,1,406,406,406,1,44,1,Success,5
9,1,517,521,2,530,530,530,1,1,1,Success,6
10,20,551,555,2,562,562,562,1,20,2,Success,10
11,48,160,160,1,175,175,175,1,48,0,Success,0
12,36,458,458,1,471,471,471,1,36,0,Success,0
13,11,408,408,1,416,416,416,1,11,0,Success,0
14,7,431,435,2,443,443,443,1,7,1,Success,7
15,46,349,353,2,364,364,364,1,46,0,Success,3
16,31,607,611,2,621,621,621,1,31,0,Success,2
17,28,323,323,1,330,330,330,1,28,0,Success,13
18,27,267,267,1,276,276,276,1,27,1,Success,7
19,37,55,59,2,71,71,71,1,37,0,Success,0
20,31,352,352,1,367,367,367,1,31,0,Success,0
21,1,526,530,2,537,537,537,1,1,2,Success,9
22,47,569,569,1,582,582,582,1,47,0,Success,1
23,4,533,537,2,547,547,547,1,4,0,Success,3
24,4,384,384,1,392,392,392,1,4,0,Success,0
25,21,278,298,4,292,308,308,2,21,0,Success,4
26,44,203,203,1,213,213,213,1,44,0,Success,2
27,27,207,211,2,221,221,221,1,27,1,Success,6
28,1,282,282,1,293,293,293,1,1,0,Success,13
29,15,483,483,1,488,488,488,1,15,1,Success,4
30,12,300,304,2,312,312,312,1,12,0,Success,0
31,26,245,249,2,262,262,262,1,26,0,Success,1
32,7,496,496,1,504,504,504,1,7,0,Success,0
33,7,289,289,1,298,298,298,1,7,0,Success,2
34,28,599,603,2,615,615,615,1,28,2,Success,8
35,7,136,136,1,144,144,144,1,7,0,Success,0
36,19,752,752,1,760,760,760,1,19,0,Success,0
37,4,427,427,1,435,435,435,1,4,2,Success,11
38,29,261,265,2,278,278,278,1,29,1,Success,5
39,31,582,586,2,598,598,598,1,31,0,Success,1
40,1,571,571,1,579,579,579,1,1,2,Success,11
41,27,554,554,1,564,564,564,1,27,0,Success,3
42,28,446,450,2,460,460,460,1,28,2,Success,11
43,3,148,152,2,160,160,160,1,3,0,Success,0
44,17,280,280,1,288,288,288,1,17,0,Success,0
45,29,274,274,1,287,287,287,1,29,2,Success,8
46,2,546,546,1,552,552,552,1,2,1,Success,4
47,4,159,163,2,171,171,171,1,4,0,Success,3
48,35,540,544,2,559,559,559,1,35,0,Success,0
49,33,346,346,1,359,359,359,1,33,1,Success,4
50,14,447,451,2,458,458,458,1,14,1,Success,6
51,19,353,353,1,361,361,361,1,19,0,Success,1
52,12,349,353,2,362,362,362,1,12,0,Success,2
53,41,439,443,2,453,453,453,1,41,1,Success,6
54,5,566,570,2,576,576,576,1,5,2,Success,8
55,36,370,370,1,381,381,381,1,36,1,Success,6
56,7,808,808,1,816,816,816,1,7,0,Success,0
57,2,97,97,1,105,105,105,1,2,0,Success,1
58,43,402,402,1,412,412,412,1,43,0,Success,3
59,43,255,259,2,266,266,266,1,43,0,Success,5
60,6,384,384,1,392,392,392,1,6,0,Success,0
61,38,332,336,2,351,351,351,1,38,0,Success,0
62,13,553,553,1,561,561,561,1,13,0,Success,1
63,19,470,474,2,481,481,481,1,19,0,Success,1
64,14,501,505,2,514,514,514,1,14,1,Success,6
65,27,103,107,2,119,119,119,1,27,0,Success,0
66,6,555,555,1,564,564,564,1,6,0,Success,4
67,26,323,323,1,330,330,330,1,26,1,Success,17
68,2,332,336,2,344,344,344,1,2,0,Success,0
69,9,148,152,2,160,160,160,1,9,0,Success,0
70,49,555,555,1,563,563,563,1,49,0,Success,4
71,20,543,547,2,556,556,556,1,20,0,Success,4
72,11,497,497,1,507,507,507,1,11,0,Success,3
73,3,347,347,1,354,354,354,1,3,2,Success,10
74,48,341,345,2,357,357,357,1,48,0,Success,2
75,2,365,369,2,379,379,379,1,2,0,Success,3
76,11,771,771,1,776,776,776,1,11,0,Success,0
77,18,254,258,2,264,264,264,1,18,1,Success,4
78,11,481,481,1,490,490,490,1,11,0,Success,2
79,38,527,531,2,541,541,541,1,38,1,Success,6
80,24,756,760,2,768,768,768,1,24,0,Success,0
81,31,603,603,1,612,612,612,1,31,0,Success,3
82,31,290,290,1,300,300,300,1,31,0,Success,3
83,30,599,603,2,611,611,611,1,30,0,Success,4
84,43,553,571,3,565,581,581,2,43,2,Success,10
85,13,113,113,1,120,120,120,1,13,0,Success,0
86,23,280,280,1,288,288,288,1,23,0,Success,0
87,44,401,401,1,413,413,413,1,44,0,Success,2
88,4,224,224,1,232,232,232,1,4,0,Success,0
89,17,608,608,1,616,616,616,1,17,0,Success,0
90,6,399,403,2,413,413,413,1,6,0,Success,5
91,1,291,291,1,301,301,301,1,1,0,Success,13
92,9,686,690,2,698,698,698,1,9,0,Success,2
93,39,323,323,1,334,334,334,1,39,2,Success,9
94,39,623,627,2,636,636,636,1,39,0,Success,3
95,27,570,570,1,582,582,582,1,27,2,Success,9
96,27,550,554,2,567,567,567,1,27,1,Success,4
97,22,495,499,2,504,504,504,1,22,2,Success,8
98,9,666,666,1,675,675,675,1,9,0,Success,3
99,3,493,497,2,506,506,506,1,3,1,Success,6
100,28,305,305,1,317,317,317,1,28,0,Success,2
101,29,315,329,3,323,342,342,2,29,1,Success,5
102,33,553,553,1,567,567,567,1,33,0,Success,0
103,35,552,552,1,567,567,567,1,35,0,Success,0
104,41,243,243,1,250,250,250,1,41,0,Success,5
105,22,385,385,1,393,393,393,1,22,0,Success,1
106,46,415,419,2,431,431,431,1,46,2,Success,8
107,28,236,240,2,255,255,255,1,28,0,Success,0
108,28,615,619,2,628,628,628,1,28,2,Success,11
109,21,469,473,2,483,483,483,1,21,0,Success,3
110,31,551,555,2,565,565,565,1,31,0,Success,2
111,38,593,593,1,606,606,606,1,38,0,Success,1
112,19,310,314,2,320,320,320,1,19,1,Success,4
113,45,581,585,2,598,598,598,1,45,0,Success,1
114,29,343,347,2,353,353,353,1,29,0,Success,14
115,28,362,362,1,375,375,375,1,28,2,Success,8
116,41,598,602,2,615,615,615,1,41,0,Success,0
117,14,477,481,2,489,489,489,1,14,1,Success,5
118,33,121,121,1,135,135,135,1,33,0,Success,0
119,26,399,403,2,415,415,415,1,26,2,Success,8
120,50,408,408,1,423,423,423,1,50,0,Success,0
121,11,180,184,2,192,192,192,1,11,0,Success,0
122,33,215,219,2,230,230,230,1,33,0,Success,1
123,23,400,400,1,408,408,408,1,23,0,Success,0
124,49,412,416,2,431,431,431,1,49,0,Success,0
125,4,421,425,2,434,434,434,1,4,0,Success,2
126,7,128,128,1,136,136,136,1,7,0,Success,0
127,47,438,442,2,452,452,452,1,47,0,Success,3
128,46,499,499,1,508,508,508,1,46,1,Success,7
129,1,226,226,1,233,233,233,1,1,1,Success,5
130,50,414,418,2,429,429,429,1,50,0,Success,2
131,30,491,491,1,500,500,500,1,30,1,Success,7
132,16,343,347,2,354,354,354,1,16,1,Success,6
133,48,645,649,2,662,662,662,1,48,0,Success,1
134,16,408,408,1,416,416,416,1,16,0,Success,0
135,1,277,281,2,288,288,288,1,1,1,Success,4
136,36,389,393,2,406,406,406,1,36,0,Success,1
137,41,621,625,2,639,639,639,1,41,0,Success,0
138,16,512,512,1,520,520,520,1,16,0,Success,0
139,3,460,464,2,472,472,472,1,3,0,Success,0
140,41,355,355,1,362,362,362,1,41,0,Success,13
141,28,198,202,2,215,215,215,1,28,1,Success,4
142,44,412,416,2,431,431,431,1,44,0,Success,0
143,42,436,440,2,455,455,455,1,42,0,Success,0
144,8,383,387,2,392,392,392,1,8,2,Success,8
145,2,277,281,2,289,289,289,1,2,1,Success,5
146,36,282,282,1,294,294,294,1,36,0,Success,1
147,9,259,259,1,270,270,270,1,9,0,Success,6
148,50,350,354,2,366,366,366,1,50,1,Success,5
149,39,244,248,2,263,263,263,1,39,0,Success,0
150,22,641,641,1,649,649,649,1,22,0,Success,1
151,10,463,467,2,474,474,474,1,10,1,Success,6
152,47,500,504,2,519,519,519,1,47,0,Success,0
153,38,162,162,1,174,174,174,1,38,0,Success,1
154,28,561,561,1,575,575,575,1,28,1,Success,4
155,32,228,232,2,247,247,247,1,32,0,Success,0
156,18,383,387,2,393,393,393,1,18,1,Success,5
157,43,296,296,1,311,311,311,1,43,0,Success,0
158,7,443,443,1,448,448,448,1,7,1,Success,4
159,13,353,353,1,362,362,362,1,13,0,Success,2
160,14,250,250,1,257,257,257,1,14,1,Success,5
161,50,369,369,1,380,380,380,1,50,0,Success,3
162,5,102,106,2,115,115,115,1,5,0,Success,3
163,38,108,112,2,127,127,127,1,38,0,Success,0
164,15,473,473,1,481,481,481,1,15,0,Success,1
165,39,651,651,1,661,661,661,1,39,1,Success,6
166,14,854,858,2,864,864,864,1,14,0,Success,0
167,4,245,249,2,256,256,256,1,4,0,Success,0
168,4,489,489,1,497,497,497,1,4,1,Success,5
169,2,365,369,2,376,376,376,1,2,1,Success,4
170,18,631,635,2,645,645,645,1,18,0,Success,5
171,31,171,171,1,181,181,181,1,31,0,Success,2
172,32,478,482,2,493,493,493,1,32,0,Success,2
173,46,533,554,4,563,563,563,2,46,0,Success,4
174,30,761,761,1,775,775,775,1,30,0,Success,0
175,4,515,515,1,522,522,522,1,4,2,Success,10
176,18,264,264,1,272,272,272,1,18,0,Success,0
177,14,733,737,2,745,745,745,1,14,0,Success,1
178,7,439,443,2,449,449,449,1,7,1,Success,5
179,38,443,443,1,450,450,450,1,38,0,Success,5
180,9,516,520,2,528,528,528,1,9,0,Success,0
181,48,700,704,2,719,719,719,1,48,0,Success,0
182,5,281,281,1,290,290,290,1,5,0,Success,2
183,44,527,546,4,557,557,557,2,44,0,Success,2
184,32,354,354,1,366,366,366,1,32,1,Success,5
185,14,892,896,2,904,904,904,1,14,0,Success,0
186,27,792,792,1,807,807,807,1,27,0,Success,0
187,49,557,561,2,575,575,575,1,49,0,Success,0
188,38,456,456,1,471,471,471,1,38,0,Success,0
189,27,315,315,1,322,322,322,1,27,1,Success,17
190,13,384,384,1,392,392,392,1,13,0,Success,0
191,1,373,377,2,387,387,387,1,1,0,Success,3
192,8,197,201,2,210,210,210,1,8,0,Success,2
193,43,292,296,2,310,310,310,1,43,0,Success,1
194,27,314,314,1,325,325,325,1,27,2,Success,10
195,27,505,505,1,517,517,517,1,27,1,Success,6
196,12,500,504,2,512,512,512,1,12,0,Success,0
197,29,566,570,2,583,583,583,1,29,1,Success,4
198,1,250,250,1,258,258,258,1,1,1,Success,6
199,37,310,314,2,327,327,327,1,37,1,Success,4
200,47,741,745,2,759,759,759,1,47,0,Success,0
201,36,523,523,1,532,532,532,1,36,1,Success,7
202,20,308,312,2,320,320,320,1,20,0,Success,0
203,23,245,249,2,256,256,256,1,23,0,Success,0
204,29,266,266,1,276,276,276,1,29,2,Success,11
205,39,660,664,2,679,679,679,1,39,0,Success,0
206,37,224,224,1,239,239,239,1,37,0,Success,0
207,28,552,552,1,567,567,567,1,28,0,Success,0
208,38,383,387,2,399,399,399,1,38,1,Success,4
209,30,574,578,2,588,588,588,1,30,0,Success,3
210,37,274,274,1,284,284,284,1,37,2,Success,11
211,12,694,698,2,705,705,705,1,12,0,Success,1
212,22,510,514,2,522,522,522,1,22,0,Success,2
213,14,465,465,1,473,473,473,1,14,0,Success,1
214,26,333,337,2,351,351,351,1,26,2,Success,8
215,8,340,344,2,352,352,352,1,8,0,Success,0
