1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14
0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13
0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,14
0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,17
0,1,1,1,0,1,0,1,1,0,1,2,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,2,0,1,1,2,0,2,0,0,1,1,1,1,32
0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,2,0,1,2,0,1,1,1,0,1,30
0,0,0,1,2,2,0,0,2,1,1,0,1,1,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,2,2,1,0,0,2,0,0,32
0,1,1,0,0,0,1,0,0,2,1,0,1,2,0,4,2,0,0,2,0,0,0,1,1,2,0,0,2,1,0,0,1,0,2,0,1,0,1,2,0,1,0,0,0,0,2,1,3,1,39
1,5,1,1,0,1,1,1,0,1,0,1,1,1,2,0,0,0,1,1,0,2,2,0,1,0,1,0,0,1,0,4,0,2,0,1,3,2,0,0,0,3,2,2,1,1,3,3,0,0,53
1,0,1,0,2,0,1,2,1,2,0,1,2,1,2,2,2,0,1,1,1,3,3,1,0,1,2,3,0,2,0,1,3,0,1,1,1,1,2,1,1,2,1,1,1,0,2,0,1,1,59
1,0,0,0,0,1,2,1,2,1,0,2,1,1,1,3,0,1,1,1,1,1,2,1,4,2,2,1,0,2,1,0,1,2,2,0,1,2,1,0,2,0,1,1,1,0,0,1,2,2,55
0,0,1,0,2,3,1,0,0,1,2,1,1,1,1,1,2,1,2,0,1,1,0,3,1,1,0,0,2,4,1,2,0,0,1,0,2,0,1,0,2,1,0,2,0,2,0,0,2,1,50
0,2,4,4,1,2,2,0,0,1,4,1,0,1,2,1,1,1,2,2,1,0,4,2,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,3,0,1,1,3,2,1,67
0,3,0,1,2,2,2,0,2,2,2,3,1,2,1,0,4,0,1,2,3,1,2,3,1,0,1,3,5,1,4,2,2,1,1,0,0,2,0,1,1,2,1,4,0,1,3,0,2,3,80
0,3,0,3,2,2,2,3,2,1,3,1,1,2,2,2,2,2,1,4,1,3,2,1,2,0,3,1,1,1,3,3,1,1,2,1,2,2,0,3,0,0,1,0,0,2,0,1,2,0,77
2,2,3,0,0,3,0,2,1,0,2,4,3,2,3,2,4,0,3,3,4,2,2,2,0,2,1,4,2,1,1,2,2,2,1,1,1,0,3,3,1,0,0,3,1,0,2,3,1,2,88
2,2,4,1,2,2,1,0,2,0,1,2,2,2,2,4,1,1,2,1,2,3,1,1,1,3,1,2,1,2,3,4,2,2,2,1,0,2,1,1,2,2,3,2,2,3,3,2,1,2,91
2,2,0,2,3,1,0,1,2,1,1,2,0,2,0,0,2,2,0,1,3,0,2,4,1,1,1,1,0,1,1,4,1,0,1,1,2,1,3,1,4,2,2,3,3,2,3,0,4,4,80
0,1,1,1,0,3,1,0,1,2,4,1,1,1,1,3,4,2,1,4,2,1,2,0,3,3,0,1,3,4,3,1,2,2,0,3,3,2,2,1,1,3,1,2,4,0,1,3,1,1,87
3,1,1,1,2,3,2,1,3,3,2,1,3,2,1,6,2,3,3,1,3,0,1,5,1,0,2,3,1,2,2,1,3,0,2,4,5,0,0,0,1,3,1,2,4,2,1,2,2,0,97
1,5,3,2,2,0,5,1,2,4,1,1,0,1,2,1,2,1,1,2,0,0,2,2,1,2,0,6,2,0,2,0,0,1,2,0,3,2,4,4,3,4,5,3,1,1,4,3,2,4,100
2,2,1,1,3,1,3,2,1,4,6,1,0,3,4,2,3,2,0,2,1,0,2,1,1,4,2,2,2,1,1,1,1,2,2,3,2,6,1,4,2,1,2,2,1,4,2,6,0,1,103
4,2,2,2,3,0,0,3,0,3,0,1,3,2,4,5,2,0,0,2,2,3,2,2,2,2,2,3,3,2,0,3,3,5,4,2,1,4,0,2,6,0,4,3,3,2,1,1,1,3,109
4,5,1,1,1,3,2,5,1,2,2,1,6,2,3,0,1,1,2,3,2,2,2,2,5,4,1,3,2,7,4,1,1,2,3,3,4,0,0,1,3,3,3,2,1,3,2,0,1,2,115
