MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
1,39,270,274,2,285,285,285,1,39,2,Success,10
2,15,240,240,1,248,248,248,1,15,0,Success,0
3,43,392,409,2,407,421,421,2,43,2,Success,10
4,33,271,275,2,286,286,286,1,33,1,Success,5
5,13,389,393,2,402,402,402,1,13,0,Success,2
6,13,443,443,1,455,455,455,1,13,1,Success,19
7,24,280,280,1,288,288,288,1,24,0,Success,0
8,4,394,394,1,404,404,404,1,4,2,Success,20
9,1,517,521,2,529,529,529,1,1,1,Success,5
10,40,551,555,2,560,560,560,1,40,1,Success,19
11,48,160,160,1,175,175,175,1,48,0,Success,0
12,16,458,458,1,470,470,470,1,16,0,Success,14
13,41,408,425,2,423,436,436,2,41,1,Success,7
14,47,431,443,4,451,451,451,1,47,2,Success,20
15,6,349,353,2,360,360,360,1,6,1,Success,4
16,11,607,611,2,623,623,623,1,11,0,Success,15
17,38,323,323,1,333,333,333,1,38,2,Success,10
18,47,267,267,1,272,272,272,1,47,0,Success,15
19,47,55,59,2,71,71,71,1,47,0,Success,0
20,21,352,352,1,360,360,360,1,21,0,Success,0
21,41,526,530,2,537,537,537,1,41,0,Success,14
22,27,569,585,2,583,596,596,2,27,1,Success,7
23,4,533,537,2,544,544,544,1,4,1,Success,4
24,14,384,384,1,392,392,392,1,14,0,Success,0
25,1,278,297,4,291,306,306,2,1,0,Success,2
26,44,203,203,1,214,214,214,1,44,1,Success,5
27,37,207,211,2,222,222,222,1,37,2,Success,9
28,11,282,282,1,288,288,288,1,11,2,Success,8
29,15,483,697,16,547,706,706,7,15,0,Success,2
30,2,300,304,2,312,312,312,1,2,0,Success,0
31,26,245,249,2,262,262,262,1,26,1,Success,5
32,47,496,562,7,511,569,569,5,47,0,Success,14
33,47,289,289,1,300,300,300,1,47,0,Success,3
34,48,599,617,4,611,630,630,2,48,1,Success,5
35,7,136,136,1,144,144,144,1,7,0,Success,0
36,29,752,752,1,767,767,767,1,29,0,Success,0
37,44,427,427,1,433,433,433,1,44,1,Success,18
38,49,261,265,2,277,277,277,1,49,0,Success,2
39,21,582,586,2,592,592,592,1,21,2,Success,8
40,41,571,585,3,579,597,597,2,41,2,Success,10
41,27,554,585,3,566,599,599,3,27,2,Success,8
42,8,446,450,2,460,460,460,1,8,0,Success,12
43,43,148,152,2,167,167,167,1,43,0,Success,0
44,17,280,280,1,288,288,288,1,17,0,Success,0
45,19,274,274,1,282,282,282,1,19,1,Success,6
46,22,546,546,1,554,554,554,1,22,1,Success,6
47,4,159,163,2,170,170,170,1,4,0,Success,2
48,5,540,554,3,552,567,567,2,5,0,Success,15
49,13,346,346,1,353,353,353,1,13,2,Success,9
50,24,447,451,2,463,463,463,1,24,1,Success,19
51,29,353,353,1,365,365,365,1,29,1,Success,6
52,32,349,353,2,367,367,367,1,32,1,Success,4
53,11,439,601,15,505,609,609,6,11,1,Success,5
54,5,566,570,2,581,581,581,1,5,0,Success,13
55,26,370,370,1,381,381,381,1,26,2,Success,10
56,37,808,808,1,823,823,823,1,37,0,Success,0
57,22,97,97,1,104,104,104,1,22,0,Success,0
58,43,402,402,1,415,415,415,1,43,2,Success,8
59,3,255,259,2,268,268,268,1,3,0,Success,12
60,16,384,394,2,392,406,406,2,16,1,Success,18
61,8,332,336,2,344,344,344,1,8,0,Success,0
62,3,553,553,1,563,563,563,1,3,2,Success,11
63,29,470,474,2,482,482,482,1,29,0,Success,13
64,4,501,505,2,515,515,515,1,4,0,Success,3
65,17,103,107,2,115,115,115,1,17,0,Success,3
66,16,555,555,1,567,567,567,1,16,2,Success,23
67,6,323,323,1,334,334,334,1,6,2,Success,22
68,32,332,336,2,351,351,351,1,32,0,Success,0
69,9,148,152,2,160,160,160,1,9,0,Success,0
70,49,555,555,1,560,560,560,1,49,0,Success,15
71,20,543,547,2,555,555,555,1,20,2,Success,11
72,11,497,560,8,506,568,568,6,11,0,Success,0
73,43,347,377,4,354,391,391,3,43,1,Success,4
74,18,341,345,2,352,352,352,1,18,1,Success,4
75,42,365,369,2,382,382,382,1,42,2,Success,9
76,21,771,771,1,780,780,780,1,21,0,Success,4
77,28,254,258,2,268,268,268,1,28,0,Success,3
78,41,481,481,1,494,494,494,1,41,1,Success,5
79,38,527,531,2,538,538,538,1,38,0,Success,13
80,44,756,760,2,775,775,775,1,44,0,Success,0
81,31,603,603,1,612,612,612,1,31,2,Success,11
82,21,290,290,1,297,297,297,1,21,1,Success,5
83,50,599,603,2,615,615,615,1,50,2,Success,8
84,33,553,553,1,566,566,566,1,33,0,Success,1
85,33,113,113,1,127,127,127,1,33,0,Success,0
86,23,280,280,1,288,288,288,1,23,0,Success,0
87,34,401,401,1,412,412,412,1,34,1,Success,7
88,14,224,224,1,232,232,232,1,14,0,Success,0
89,7,608,608,1,616,616,616,1,7,0,Success,0
90,36,399,434,6,411,443,443,3,36,0,Success,12
91,11,291,291,1,302,302,302,1,11,1,Success,18
92,19,686,704,4,698,712,712,2,19,0,Success,0
93,19,323,337,2,335,347,347,2,19,1,Success,7
94,29,623,627,2,637,637,637,1,29,1,Success,6
95,17,570,570,1,578,578,578,1,17,1,Success,6
96,37,550,554,2,560,560,560,1,37,0,Success,15
97,2,495,499,2,510,510,510,1,2,0,Success,14
98,19,666,666,1,675,675,675,1,19,0,Success,3
99,13,493,497,2,505,505,505,1,13,1,Success,5
100,18,305,305,1,313,313,313,1,18,0,Success,1
101,49,315,322,2,320,328,328,2,49,0,Success,15
102,23,553,553,1,561,561,561,1,23,1,Success,5
103,15,552,552,1,560,560,560,1,15,0,Success,0
104,1,243,243,1,250,250,250,1,1,1,Success,6
105,42,385,417,5,397,430,430,3,42,2,Success,9
106,46,415,419,2,424,424,424,1,46,1,Success,19
107,8,236,240,2,248,248,248,1,8,0,Success,0
108,38,615,619,2,625,625,625,1,38,1,Success,18
109,21,469,473,2,483,483,483,1,21,1,Success,7
110,1,551,568,4,562,576,576,2,1,0,Success,0
111,8,593,593,1,600,600,600,1,8,2,Success,8
112,19,310,314,2,320,320,320,1,19,2,Success,8
113,25,581,585,2,593,593,593,1,25,2,Success,9
114,49,343,419,10,355,425,425,5,49,2,Success,22
115,8,362,386,3,374,392,392,3,8,2,Success,8
116,1,598,602,2,610,610,610,1,1,2,Success,10
117,4,477,481,2,490,490,490,1,4,2,Success,10
118,23,121,121,1,128,128,128,1,23,0,Success,0
119,26,399,403,2,412,412,412,1,26,2,Success,11
120,20,408,408,1,416,416,416,1,20,0,Success,0
121,21,180,184,2,192,192,192,1,21,0,Success,0
122,23,215,219,2,227,227,227,1,23,1,Success,7
123,3,400,400,1,408,408,408,1,3,0,Success,0
124,19,412,441,4,424,448,448,3,19,2,Success,8
125,24,421,425,2,435,435,435,1,24,0,Success,3
126,27,128,128,1,143,143,143,1,27,0,Success,0
127,7,438,442,2,453,453,453,1,7,2,Success,21
128,16,499,499,1,508,508,508,1,16,2,Success,20
129,31,226,226,1,237,237,237,1,31,1,Success,6
130,40,414,433,4,427,447,447,2,40,1,Success,4
131,20,491,491,1,497,497,497,1,20,1,Success,5
132,16,343,360,3,358,368,368,2,16,0,Success,0
133,28,645,649,2,663,663,663,1,28,0,Success,0
134,46,408,408,1,423,423,423,1,46,0,Success,0
135,21,277,281,2,291,291,291,1,21,1,Success,7
136,46,389,393,2,406,406,406,1,46,1,Success,5
137,21,621,625,2,635,635,635,1,21,1,Success,7
138,16,512,512,1,520,520,520,1,16,0,Success,0
139,13,460,464,2,472,472,472,1,13,0,Success,0
140,21,355,368,2,366,376,376,2,21,0,Success,0
