1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3
1,0,0,1,0,2,0,0,0,0,1,2,2,0,0,9
0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,7
0,3,0,1,0,0,1,0,2,0,0,1,2,2,2,14
1,2,0,1,1,3,0,0,0,0,2,0,1,1,1,13
1,1,0,2,1,1,0,2,1,0,0,0,1,2,2,14
1,2,2,1,1,0,0,1,1,1,1,1,2,1,2,17
2,3,2,2,2,2,4,1,3,1,2,1,2,4,1,32
0,1,2,1,0,6,2,3,1,3,2,4,3,1,1,30
3,0,3,3,3,2,0,1,1,6,1,1,3,4,1,32
3,2,1,3,3,3,5,1,1,5,1,1,2,5,3,39
0,12,3,4,4,1,6,5,3,2,3,5,4,0,1,53
5,7,4,3,4,1,6,10,3,7,1,2,2,2,2,59
3,4,5,6,5,5,1,4,3,5,3,3,2,2,4,55
7,2,2,6,5,4,6,0,6,3,2,2,1,1,3,50
5,3,3,5,5,4,5,7,5,3,5,4,5,6,2,67
4,10,3,6,5,5,4,2,9,5,4,7,6,6,4,80
5,4,6,6,8,5,7,3,2,4,4,8,5,5,5,77
10,4,2,4,4,7,7,8,8,6,1,7,9,7,4,88
6,9,9,6,9,7,4,6,2,2,10,6,4,7,4,91
6,2,4,5,8,7,5,4,10,5,3,11,2,5,3,80
9,5,8,4,3,7,6,4,7,9,6,5,3,3,8,87
8,3,11,5,4,12,7,2,5,6,6,8,5,9,6,97
2,10,6,4,2,6,9,8,9,12,3,5,9,7,8,100
9,5,6,7,9,8,8,7,2,5,9,4,11,4,9,103
6,3,8,8,9,6,4,14,5,10,11,8,3,5,9,109
10,11,9,6,11,4,4,7,3,10,14,7,6,6,7,115
15,5,11,6,10,9,5,11,8,9,13,8,4,5,7,126
5,7,7,10,8,7,14,4,8,7,7,4,9,11,8,116
8,12,5,7,12,9,10,7,8,6,9,13,5,11,10,132
14,7,8,7,8,10,7,12,4,8,8,11,9,10,10,133
6,8,9,5,6,8,12,8,16,15,8,10,9,4,12,136
8,9,10,6,2,10,7,7,8,10,10,5,5,13,11,121
14,6,10,10,12,12,7,11,10,8,15,9,11,15,2,152
13,10,7,9,8,9,16,5,8,15,4,9,11,12,14,150
8,8,7,10,10,12,11,13,6,5,10,14,19,8,10,151
8,10,12,7,10,8,7,10,8,14,16,14,13,5,7,149
9,13,7,10,7,13,11,14,13,10,14,12,8,11,7,159
9,8,10,8,8,11,5,15,5,7,10,16,6,13,12,143
11,10,12,12,17,9,10,9,12,6,11,7,9,10,11,156
10,11,9,13,8,10,7,14,9,10,8,16,10,14,6,155
10,12,16,16,11,15,10,15,11,18,15,13,11,12,10,195
8,7,13,5,10,9,14,9,10,5,13,11,8,10,8,140
7,8,12,14,15,6,10,13,13,14,7,11,20,11,17,178
9,13,11,10,9,7,4,14,11,9,9,8,8,13,9,144
8,14,13,15,5,11,5,13,5,14,10,11,5,6,10,145
