initateRA,firstRA,successRA,retranmission
270,270,275,1
240,240,245,1
392,392,397,1
271,271,276,1
389,389,394,1
443,443,448,1
280,280,285,1
394,394,399,1
517,517,522,1
551,551,556,1
160,160,165,1
458,458,463,1
408,408,413,1
431,431,436,1
349,349,354,1
607,607,612,1
323,323,328,1
267,267,272,1
55,55,60,1
352,352,357,1
526,526,531,1
569,569,574,1
533,533,538,1
384,384,389,1
278,278,283,1
203,203,208,1
207,207,212,1
282,282,287,1
483,483,488,1
300,300,305,1
245,245,250,1
496,496,501,1
289,289,294,1
599,599,604,1
136,136,141,1
752,752,757,1
427,427,432,1
261,261,266,1
582,582,587,1
571,571,576,1
554,554,559,1
446,446,451,1
148,148,153,1
280,280,285,1
274,274,279,1
546,546,551,1
159,159,164,1
540,540,545,1
346,346,351,1
447,447,452,1
353,353,358,1
349,349,354,1
439,439,444,1
566,566,571,1
370,370,375,1
808,808,813,1
97,97,102,1
402,402,407,1
255,255,260,1
384,384,389,1
332,332,337,1
555,553,560,2
470,470,475,1
501,501,506,1
103,103,108,1
555,555,560,1
323,323,328,1
332,332,337,1
148,148,153,1
555,555,560,1
543,543,548,1
497,497,502,1
347,347,352,1
341,341,346,1
365,365,370,1
771,771,776,1
254,254,259,1
481,481,486,1
527,527,532,1
756,756,761,1
603,603,608,1
290,290,295,1
599,599,604,1
553,553,558,1
113,113,118,1
280,280,285,1
401,401,406,1
224,224,229,1
608,608,613,1
399,399,404,1
291,291,296,1
686,686,691,1
323,323,328,1
623,623,628,1
570,570,575,1
550,550,555,1
495,495,500,1
666,666,671,1
493,493,498,1
305,305,310,1
315,315,320,1
553,553,558,1
552,552,557,1
243,243,248,1
385,385,390,1
415,415,420,1
236,236,241,1
615,615,620,1
469,469,474,1
551,551,556,1
593,593,598,1
310,310,315,1
581,581,586,1
343,343,348,1
362,362,367,1
598,598,603,1
477,477,482,1
121,121,126,1
399,399,404,1
408,408,413,1
180,180,185,1
215,215,220,1
400,400,405,1
412,412,417,1
421,421,426,1
128,128,133,1
438,438,443,1
499,499,504,1
226,226,231,1
414,414,419,1
491,491,496,1
343,343,348,1
645,645,650,1
408,408,413,1
277,277,282,1
389,389,394,1
621,621,626,1
512,512,517,1
460,460,465,1
355,355,360,1
198,198,203,1
412,412,417,1
436,436,441,1
383,383,388,1
277,277,282,1
282,282,287,1
259,259,264,1
350,350,355,1
244,244,249,1
641,641,646,1
463,463,468,1
500,500,505,1
162,162,167,1
561,561,566,1
228,228,233,1
383,383,388,1
296,296,301,1
443,443,448,1
353,353,358,1
250,250,255,1
369,369,374,1
102,102,107,1
108,108,113,1
473,473,478,1
651,651,656,1
854,854,859,1
245,245,250,1
489,489,494,1
365,365,370,1
631,631,636,1
171,171,176,1
478,478,483,1
533,533,538,1
761,761,766,1
515,515,520,1
264,264,269,1
733,733,738,1
439,439,444,1
443,443,448,1
516,516,521,1
700,700,705,1
281,281,286,1
527,527,532,1
354,354,359,1
892,892,897,1
792,792,797,1
557,557,562,1
456,456,461,1
315,315,320,1
384,384,389,1
373,373,378,1
197,197,202,1
294,292,299,2
314,314,319,1
505,505,510,1
500,500,505,1
566,566,571,1
250,250,255,1
310,310,315,1
741,741,746,1
523,523,528,1
308,308,313,1
245,245,250,1
266,266,271,1
660,660,665,1
224,224,229,1
552,552,557,1
383,383,388,1
574,574,579,1
274,274,279,1
694,694,699,1
510,510,515,1
465,465,470,1
333,333,338,1
340,340,345,1
320,320,325,1
113,113,118,1
495,495,500,1
714,714,719,1
324,324,329,1
555,555,560,1
414,414,419,1
400,400,405,1
311,311,316,1
378,378,383,1
350,350,355,1
482,482,487,1
480,480,485,1
376,376,381,1
489,489,494,1
662,662,667,1
483,483,488,1
361,361,366,1
382,382,387,1
455,455,460,1
291,291,296,1
410,410,415,1
512,512,517,1
623,623,628,1
744,744,749,1
366,366,371,1
398,398,403,1
718,718,723,1
531,531,536,1
275,275,280,1
264,264,269,1
489,489,494,1
266,266,271,1
244,244,249,1
683,683,688,1
408,408,413,1
428,428,433,1
271,271,276,1
336,336,341,1
828,828,833,1
462,462,467,1
436,436,441,1
460,460,465,1
187,187,192,1
238,238,243,1
176,176,181,1
590,590,595,1
115,115,120,1
655,655,660,1
664,664,669,1
204,204,209,1
237,237,242,1
380,380,385,1
537,537,542,1
197,197,202,1
574,574,579,1
522,522,527,1
346,346,351,1
557,557,562,1
361,361,366,1
538,538,543,1
311,311,316,1
497,497,502,1
393,393,398,1
610,610,615,1
349,349,354,1
282,282,287,1
320,320,325,1
489,489,494,1
469,469,474,1
336,336,341,1
214,214,219,1
687,687,692,1
231,231,236,1
466,466,471,1
376,376,381,1
394,394,399,1
396,396,401,1
651,651,656,1
330,330,335,1
139,139,144,1
499,499,504,1
375,375,380,1
691,691,696,1
681,681,686,1
318,318,323,1
497,497,502,1
805,805,810,1
447,447,452,1
241,241,246,1
659,659,664,1
238,238,243,1
245,245,250,1
509,509,514,1
312,312,317,1
286,286,291,1
94,94,99,1
391,391,396,1
319,319,324,1
421,421,426,1
487,487,492,1
319,319,324,1
491,491,496,1
474,474,479,1
280,280,285,1
517,517,522,1
324,324,329,1
198,198,203,1
275,275,280,1
484,484,489,1
618,618,623,1
178,178,183,1
370,370,375,1
723,723,728,1
512,510,517,2
164,164,169,1
405,405,410,1
293,293,298,1
372,372,377,1
450,450,455,1
411,411,416,1
277,277,282,1
684,684,689,1
354,354,359,1
91,91,96,1
521,521,526,1
398,398,403,1
232,232,237,1
454,454,459,1
251,251,256,1
213,213,218,1
343,343,348,1
858,858,863,1
165,165,170,1
275,275,280,1
656,656,661,1
398,398,403,1
433,433,438,1
676,676,681,1
603,603,608,1
529,529,534,1
204,204,209,1
399,399,404,1
310,310,315,1
323,323,328,1
775,775,780,1
451,451,456,1
661,661,666,1
340,340,345,1
163,163,168,1
247,247,252,1
301,301,306,1
398,398,403,1
606,606,611,1
246,246,251,1
297,297,302,1
580,580,585,1
142,142,147,1
332,332,337,1
