1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3
0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,9
0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,7
0,3,2,0,1,0,2,0,1,2,1,1,0,1,0,0,14
0,0,1,1,5,0,1,0,0,1,1,0,1,1,0,1,13
1,0,2,0,3,0,0,1,1,1,0,1,0,2,0,2,14
1,1,1,1,0,1,2,1,3,1,2,1,0,0,0,2,17
1,3,2,4,1,0,0,4,2,1,3,3,2,3,1,2,32
0,2,1,2,2,2,2,2,0,0,2,2,2,8,1,2,30
3,3,3,1,2,2,2,0,1,3,1,1,0,6,2,2,32
3,4,3,4,3,1,1,0,3,4,1,3,4,2,1,2,39
3,6,2,5,2,5,3,5,5,5,4,3,2,5,2,1,58
4,7,6,3,5,2,6,5,4,4,6,3,4,6,3,3,71
3,4,9,5,3,4,6,7,6,4,3,4,4,5,2,3,72
7,5,4,5,3,3,5,5,5,1,3,8,4,4,3,2,67
7,4,4,7,4,7,5,6,9,4,3,2,5,5,7,3,82
6,7,4,7,6,3,7,5,13,6,3,7,7,5,5,6,97
5,11,4,6,4,6,8,6,4,4,5,8,8,9,5,9,102
7,12,8,13,5,3,8,6,5,10,9,6,6,4,5,6,113
10,10,6,7,16,4,6,9,5,9,7,8,5,5,6,5,118
6,10,6,5,8,8,9,11,8,4,5,6,7,6,7,4,110
7,6,5,8,6,7,7,13,5,8,12,6,8,7,8,4,117
6,9,8,8,8,4,10,9,6,6,9,9,7,12,10,8,129
6,6,13,9,5,12,11,8,8,10,4,10,5,11,10,6,134
7,8,5,8,7,11,9,8,7,4,9,11,7,13,9,12,135
9,7,5,4,10,7,11,13,10,15,4,9,11,8,10,9,142
9,8,11,13,6,8,8,8,8,3,12,6,10,12,9,16,147
15,8,8,11,12,13,13,6,10,9,9,4,10,9,8,18,163
10,7,11,9,11,14,7,14,5,9,10,7,12,12,7,9,154
14,10,9,11,8,13,15,10,17,9,8,9,7,13,12,11,176
13,10,12,11,5,10,11,11,7,9,15,15,11,15,11,10,176
9,12,14,22,10,8,14,14,8,16,11,14,9,5,12,7,185
6,8,15,9,8,7,9,14,13,9,8,8,12,11,18,14,169
10,18,12,9,6,8,12,17,15,13,9,17,14,7,17,15,199
17,19,10,10,14,15,10,13,12,9,11,13,9,11,10,12,195
11,17,11,11,11,14,9,13,19,14,18,10,10,13,9,10,200
11,13,11,12,10,12,14,16,14,16,12,14,13,7,15,14,204
9,5,19,8,18,12,14,23,13,14,15,15,9,23,8,10,215
13,16,13,9,15,13,15,7,12,10,12,11,19,7,17,16,205
17,12,15,16,12,10,6,15,11,12,13,11,17,9,20,10,206
13,11,10,15,12,14,15,12,13,11,12,18,16,13,17,9,211
11,16,15,10,23,21,17,14,18,15,17,15,12,18,15,15,252
19,13,17,9,10,11,11,11,12,14,9,13,12,15,15,14,205
6,15,19,10,21,13,19,21,14,16,14,16,20,12,23,16,255
14,12,16,14,13,6,9,12,19,15,17,17,11,12,10,8,205
14,16,17,16,16,13,16,15,10,9,10,15,14,11,10,12,214
16,17,16,16,14,13,14,11,9,10,16,15,13,8,12,13,213
15,19,11,11,13,15,13,19,10,13,16,13,18,16,15,21,238
14,17,12,20,14,16,19,14,9,14,16,11,19,18,24,13,250
14,21,16,12,18,24,15,12,9,17,15,9,12,14,12,15,235
14,14,17,8,17,8,18,14,9,16,15,11,18,13,10,14,216
16,13,15,12,12,11,11,15,20,11,19,17,10,23,9,12,226
18,14,16,15,14,18,17,16,10,21,15,12,15,10,8,13,232
15,17,16,14,18,12,10,16,13,12,14,11,22,10,16,16,232
17,18,15,8,17,10,21,14,8,15,17,18,12,9,12,17,228
14,12,10,12,10,13,12,14,13,24,15,16,13,11,12,19,220
19,10,17,13,17,11,14,14,15,14,12,6,16,16,13,17,224
10,13,20,16,18,17,14,16,19,17,11,13,19,20,17,13,253
10,9,14,13,19,21,8,8,17,15,10,10,14,12,15,9,204
5,9,10,14,11,17,21,18,13,12,16,15,17,13,15,11,217
10,15,13,16,14,16,10,14,14,12,9,18,17,11,8,16,213
12,10,21,10,9,18,10,24,13,8,11,14,12,16,12,11,211
14,9,18,17,15,14,9,15,11,15,11,12,13,14,8,11,206
10,17,20,13,8,19,12,12,8,14,11,22,11,13,13,10,213
9,11,13,17,9,16,10,12,11,15,19,11,8,17,11,10,199
11,10,7,9,12,8,15,13,17,9,10,9,10,17,10,16,183
14,12,5,13,14,14,12,11,12,12,8,8,11,11,11,11,179
9,11,5,19,11,11,10,11,13,6,12,15,15,8,15,12,183
10,12,14,8,12,7,10,10,10,11,15,12,10,13,12,12,178
9,15,11,9,13,9,10,9,9,12,6,9,12,12,6,8,159
10,11,13,7,11,13,10,8,7,8,11,11,9,12,7,11,159
9,9,16,11,7,10,12,6,8,12,16,10,13,6,10,11,166
9,13,9,10,13,9,11,7,10,11,6,13,10,10,8,12,161
15,13,15,7,4,9,10,6,13,9,7,7,7,12,9,6,149
15,13,19,7,13,5,8,14,9,11,9,10,14,8,6,7,168
10,9,6,10,7,6,7,6,7,16,9,7,6,7,7,10,130
6,3,10,8,6,12,7,15,8,3,14,4,9,10,6,6,127
3,4,7,6,10,8,6,8,5,7,10,12,10,7,5,6,114
9,10,7,6,7,6,7,8,5,9,4,7,4,7,6,10,112
8,7,9,12,9,6,12,9,9,5,5,8,6,7,4,4,120
5,6,8,1,6,9,8,10,8,8,8,8,9,8,6,7,115
5,5,10,6,6,15,9,5,9,3,5,11,8,9,4,6,116
4,9,8,5,8,3,4,6,6,4,6,5,6,6,5,11,96
7,6,4,6,3,5,8,4,5,4,9,7,6,6,2,7,89
3,5,6,3,5,6,5,9,9,11,4,1,3,3,4,4,81
3,5,3,6,3,6,6,5,5,6,2,5,6,5,7,3,76
4,3,5,5,4,3,5,10,8,5,3,8,4,2,4,4,77
3,3,4,4,3,4,2,5,5,2,3,6,4,2,7,3,60
7,3,4,2,4,3,5,7,4,3,1,2,4,5,4,3,61
2,1,4,3,2,5,2,3,7,4,3,2,3,2,4,3,50
8,3,2,2,3,5,3,4,4,4,3,3,2,4,3,1,54
3,3,1,2,4,2,2,5,2,4,0,5,3,1,4,0,41
3,2,4,0,3,2,3,3,4,2,3,1,0,5,4,2,41
2,3,3,3,1,4,2,3,3,0,5,4,3,5,3,1,45
2,2,4,2,2,2,2,4,3,1,4,8,6,0,2,4,48
3,1,6,0,2,3,2,4,3,1,3,0,2,2,1,4,37
1,1,1,0,2,2,0,1,1,4,3,3,0,4,1,1,25
1,0,0,2,2,2,2,5,0,1,0,1,2,1,1,0,20
0,0,1,3,3,1,3,4,1,1,2,1,0,2,3,2,27
1,0,0,0,1,2,2,1,1,1,2,2,1,0,0,3,17
0,3,1,0,1,1,2,0,1,2,2,0,1,2,0,1,17
2,0,0,0,1,2,3,2,2,3,3,1,0,0,1,0,20
1,1,1,2,2,1,2,0,0,1,0,0,2,0,0,1,14
1,0,1,2,0,0,0,1,0,1,1,0,0,3,0,0,10
2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,9
0,1,1,1,0,2,0,1,3,0,1,1,1,1,0,1,14
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,5
0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,5
0,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,7
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
