initate MTCD,emtpyPre,collidePre,successPre,grant fail
0,54,0,0,0
1,53,0,1,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
1,53,0,1,0
0,54,0,0,0
0,54,0,0,0
1,53,0,1,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
0,54,0,0,0
1,53,0,1,0
0,54,0,0,0
0,54,0,0,0
1,53,0,1,0
0,54,0,0,0
0,54,0,0,0
3,51,0,3,0
1,53,0,1,0
2,52,0,2,0
0,54,0,0,0
2,52,0,2,0
4,50,0,4,0
1,53,0,1,0
4,50,0,4,0
3,51,0,3,0
3,51,0,3,0
2,52,0,2,0
2,52,0,2,0
2,52,0,2,0
2,52,0,2,0
5,49,0,5,0
3,51,0,3,0
2,52,0,2,0
3,51,0,3,0
4,50,0,4,0
5,49,0,5,0
3,52,1,1,0
3,51,0,3,0
3,51,0,3,0
6,49,1,4,0
5,49,0,5,0
6,48,0,6,0
6,48,0,6,0
5,49,0,5,0
3,51,0,3,0
4,50,0,4,0
3,51,0,3,0
8,46,0,8,0
1,53,0,1,0
2,52,0,2,0
6,48,0,6,0
2,52,0,2,0
2,52,0,2,0
8,46,0,8,0
5,49,0,5,0
6,48,0,6,0
6,48,0,6,0
3,51,0,3,0
12,43,1,10,0
8,46,0,8,0
8,46,0,8,0
9,45,0,9,0
7,47,0,7,0
6,48,0,6,0
11,44,1,9,0
6,48,0,6,0
7,48,1,5,0
12,43,1,10,0
11,43,0,11,0
10,45,1,8,0
12,43,1,10,0
10,45,1,8,0
14,42,2,10,0
9,47,1,6,0
11,44,1,9,0
8,46,0,8,0
11,43,0,11,0
9,46,1,7,0
9,45,0,9,0
6,48,0,6,0
12,45,3,6,0
16,42,3,9,0
12,44,2,8,0
10,45,1,8,0
17,38,1,15,0
7,48,1,5,0
10,46,2,6,0
13,43,2,9,0
11,44,1,9,0
9,47,2,5,0
9,46,1,7,0
13,42,1,11,0
10,46,2,6,0
16,38,0,16,0
18,37,1,16,0
15,40,1,13,0
16,39,1,14,0
14,42,2,10,0
21,35,2,17,0
15,43,2,9,0
12,43,1,10,0
22,36,3,15,0
19,38,2,14,0
27,34,7,13,0
12,44,2,8,0
17,38,1,15,0
19,37,2,15,0
18,38,2,14,0
12,44,2,8,0
17,37,0,17,0
18,38,2,14,0
19,38,3,13,0
19,39,3,12,0
23,33,2,19,0
24,36,5,13,0
21,35,2,17,0
14,41,1,12,0
15,41,2,11,0
18,39,3,12,0
23,34,3,17,0
25,34,5,15,0
19,36,1,17,0
20,38,3,13,0
25,32,3,19,0
22,34,2,18,0
21,37,3,14,0
27,33,6,15,0
13,42,1,11,0
26,35,5,14,0
22,35,3,16,0
23,33,2,19,0
16,40,2,12,0
30,30,6,18,0
11,45,2,7,0
30,30,6,18,0
35,29,8,17,0
24,37,4,13,0
39,25,8,21,0
17,38,1,15,0
20,37,2,15,0
21,40,6,8,0
22,34,2,18,0
30,26,2,26,0
29,34,9,11,0
19,38,3,13,0
19,39,4,11,0
24,36,6,12,0
30,28,3,23,0
24,35,5,14,0
24,37,6,11,0
27,33,6,15,0
26,34,6,14,0
37,29,11,14,0
38,30,11,13,0
36,29,10,15,0
33,31,9,14,0
22,34,2,18,0
35,31,12,11,0
37,23,5,25,1
28,32,6,16,0
29,30,3,21,0
42,24,9,20,1
32,29,7,18,0
38,25,8,21,0
38,26,10,18,0
31,33,8,13,0
34,29,8,17,0
27,32,3,19,0
34,28,7,19,0
43,25,11,18,0
38,26,9,19,0
37,28,8,18,0
44,22,10,19,3
40,26,11,17,0
29,32,6,16,0
21,35,2,17,0
38,26,8,20,0
40,25,8,21,0
35,24,5,24,1
41,24,9,20,1
41,26,10,18,0
33,32,7,15,0
46,28,11,15,0
47,24,14,15,1
33,26,5,23,0
42,27,12,15,0
36,30,9,15,0
47,23,12,18,1
36,28,9,17,0
46,26,14,14,0
37,29,10,15,0
41,28,9,17,0
39,28,10,16,0
37,31,9,14,0
45,22,9,21,2
38,24,8,21,1
43,20,8,21,5
41,23,10,19,2
43,24,9,20,1
52,23,16,15,0
42,26,9,19,0
35,28,6,20,0
35,28,8,18,0
58,20,15,15,4
46,20,10,20,4
37,27,9,18,0
