MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
1,9,270,1619,14,1624,1624,1629,9,27,D2D_RA,
2,11,392,821,13,400,1379,-1,10,49,Broken,
3,7,389,393,2,405,405,410,1,21,D2D_RA,
4,8,280,1669,13,288,1863,-1,10,53,Broken,
5,8,517,537,6,550,550,555,1,23,D2D_RA,
6,16,160,160,1,168,168,173,1,46,D2D_RA,
7,7,408,472,11,416,480,485,5,19,D2D_RA,
8,11,349,353,2,365,365,370,1,32,D2D_RA,
9,15,323,1281,12,1288,1288,1293,5,43,D2D_RA,
10,7,55,59,2,65,65,70,1,20,D2D_RA,
11,3,526,786,14,784,799,-1,10,9,Broken,
12,8,533,537,2,550,550,555,1,24,D2D_RA,
13,16,278,456,11,464,464,469,3,46,D2D_RA,
14,15,207,243,10,0,293,298,1,52,D2D_RA,
15,16,483,786,14,639,797,-1,10,47,Broken,
16,15,245,249,2,260,260,265,1,45,D2D_RA,
17,16,289,304,2,302,312,317,3,46,D2D_RA,
18,11,136,163,4,144,174,179,5,33,D2D_RA,
19,5,427,1961,13,1968,1968,1973,7,13,D2D_RA,
20,3,582,1080,12,1088,1088,1093,5,7,D2D_RA,
21,10,554,712,11,720,720,725,3,28,D2D_RA,
22,1,148,162,3,160,173,178,3,2,D2D_RA,
23,12,274,377,11,389,389,394,3,34,D2D_RA,
24,15,159,193,7,191,202,207,3,43,D2D_RA,
25,10,346,853,14,0,899,-1,10,52,Broken,
26,12,353,353,1,363,363,368,1,35,D2D_RA,
27,7,439,1041,11,1049,1049,1054,3,20,D2D_RA,
28,15,370,1314,14,1322,1322,-1,10,44,Broken,
29,3,97,97,1,105,105,110,1,7,D2D_RA,
30,10,255,544,12,552,552,557,5,28,D2D_RA,
31,9,332,336,2,344,344,349,1,25,D2D_RA,
32,2,470,970,13,968,979,984,7,6,D2D_RA,
33,10,103,107,2,114,114,119,1,29,D2D_RA,
34,14,323,741,14,0,887,-1,10,52,Broken,
35,9,148,152,2,160,160,165,1,25,D2D_RA,
36,15,543,1587,13,1592,1592,1597,7,45,D2D_RA,
37,8,347,931,11,943,943,948,3,24,D2D_RA,
38,15,365,573,13,381,742,-1,10,51,Broken,
39,3,254,1363,14,1370,1370,1375,9,7,D2D_RA,
40,12,527,972,14,0,1339,-1,10,51,Broken,
41,11,603,1587,14,1592,1592,1597,9,33,D2D_RA,
42,7,599,1399,14,0,1733,-1,10,52,Broken,
43,7,113,138,4,122,147,152,5,21,D2D_RA,
44,8,401,417,3,411,431,436,3,22,D2D_RA,
45,6,608,608,1,616,616,621,1,16,D2D_RA,
46,5,291,1153,12,1161,1161,1166,5,14,D2D_RA,
47,7,323,909,14,907,1137,-1,10,53,Broken,
48,3,570,801,11,812,812,817,3,7,D2D_RA,
49,13,495,1467,14,1473,1473,1478,9,37,D2D_RA,
50,12,493,497,2,509,509,514,1,34,D2D_RA,
51,13,315,1729,14,1736,1736,1741,9,39,D2D_RA,
52,1,552,1201,13,560,1208,-1,10,3,Broken,
53,10,385,400,2,398,408,413,3,28,D2D_RA,
54,2,236,1641,13,248,1648,1653,9,5,D2D_RA,
55,3,469,473,2,487,487,492,1,7,D2D_RA,
56,11,593,593,1,603,603,608,1,32,D2D_RA,
57,11,581,1174,13,597,1362,-1,10,54,Broken,
58,1,362,776,12,784,784,789,5,1,D2D_RA,
59,9,477,481,2,495,495,500,1,27,D2D_RA,
60,14,399,1872,14,1880,1880,1885,9,40,D2D_RA,
61,1,180,208,4,192,216,221,5,1,D2D_RA,
62,9,400,400,1,408,408,413,1,25,D2D_RA,
63,3,421,449,8,462,462,467,1,7,D2D_RA,
64,10,438,931,11,943,943,948,3,28,D2D_RA,
65,2,226,521,14,384,533,538,9,5,D2D_RA,
66,12,491,874,13,885,885,890,7,34,D2D_RA,
67,8,645,649,2,662,662,667,1,22,D2D_RA,
68,4,277,281,2,291,291,296,1,12,D2D_RA,
69,8,621,1067,11,636,1076,1081,5,23,D2D_RA,
70,1,460,464,2,472,472,477,1,1,D2D_RA,
71,4,198,674,13,213,1028,-1,10,53,Broken,
72,4,436,514,13,448,563,-1,10,51,Broken,
73,16,277,846,13,293,862,-1,10,54,Broken,
74,2,259,1041,13,1050,1050,1055,7,4,D2D_RA,
75,6,244,248,2,256,256,261,1,16,D2D_RA,
76,7,463,1612,14,0,1620,-1,10,54,Broken,
77,12,162,162,1,172,172,177,1,36,D2D_RA,
78,14,228,232,2,240,240,245,1,40,D2D_RA,
79,3,296,491,13,304,636,-1,10,53,Broken,
80,14,353,1310,13,365,1488,-1,10,53,Broken,
81,1,369,385,2,383,397,402,3,3,D2D_RA,
82,7,108,138,5,120,148,153,5,19,D2D_RA,
83,2,651,729,11,741,741,746,3,6,D2D_RA,
84,14,245,249,2,262,262,267,1,41,D2D_RA,
85,10,365,1011,13,380,1020,-1,10,28,Broken,
86,4,171,238,10,198,431,-1,10,52,Broken,
87,14,533,855,12,550,1192,-1,10,50,Broken,
88,14,515,858,13,856,871,876,7,40,D2D_RA,
89,3,733,1030,12,747,1949,1954,9,49,D2D_RA,
90,1,443,602,14,600,727,-1,10,54,Broken,
91,7,700,1579,13,712,1585,1590,9,19,D2D_RA,
92,12,527,1748,14,1242,1910,1915,9,49,D2D_RA,
93,15,892,923,5,904,935,940,5,45,D2D_RA,
94,10,557,561,2,573,573,578,1,29,D2D_RA,
95,1,315,1395,14,1402,1402,1407,9,2,D2D_RA,
96,8,373,377,2,389,389,394,1,24,D2D_RA,
97,3,292,766,13,304,776,-1,10,53,Broken,
98,4,505,505,1,519,519,524,1,12,D2D_RA,
99,3,566,1258,13,1256,1265,1270,7,9,D2D_RA,
100,7,310,635,14,0,759,-1,10,54,Broken,
101,8,523,1065,14,1072,1072,-1,10,24,Broken,
102,5,245,265,4,259,276,281,3,14,D2D_RA,
103,9,660,664,2,672,672,677,1,25,D2D_RA,
104,2,552,1223,13,560,1267,-1,10,54,Broken,
105,13,574,1059,14,980,1070,-1,10,38,Broken,
106,6,694,1058,12,1065,1065,1070,5,18,D2D_RA,
107,2,465,465,1,475,475,480,1,6,D2D_RA,
108,4,340,344,2,352,352,357,1,10,D2D_RA,
109,2,113,123,2,121,133,138,3,4,D2D_RA,
110,8,714,746,9,758,758,763,1,23,D2D_RA,
111,3,555,1545,13,1552,1552,1557,7,8,D2D_RA,
112,15,400,400,1,408,408,413,1,43,D2D_RA,
113,14,378,889,13,640,898,903,7,40,D2D_RA,
114,12,482,810,14,0,826,-1,10,49,Broken,
115,3,376,376,1,384,384,389,1,7,D2D_RA,
116,8,662,1370,14,1368,1377,1382,9,23,D2D_RA,
117,10,361,361,1,375,375,380,1,29,D2D_RA,
118,9,455,1314,14,1312,1321,1326,9,26,D2D_RA,
119,13,410,1578,14,1584,1584,1589,9,39,D2D_RA,
120,7,623,1016,12,1024,1024,1029,5,19,D2D_RA,
