MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
1,11,270,274,2,281,281,281,1,32,Success
2,14,392,392,1,400,400,400,1,40,Success
3,3,389,393,2,400,400,400,1,9,Success
4,7,280,290,2,288,296,296,2,20,Success
5,6,517,521,2,528,528,528,1,18,Success
6,6,160,160,1,168,168,168,1,16,Success
7,4,408,427,3,416,435,435,3,12,Success
8,3,349,353,2,360,360,360,1,9,Success
9,6,323,331,2,329,339,339,2,16,Success
10,5,55,59,2,64,64,64,1,14,Success
11,5,526,547,4,537,555,555,3,13,Success
12,13,533,537,2,544,544,544,1,38,Success
13,3,278,282,2,292,292,292,1,8,Success
14,15,207,211,2,218,218,218,1,45,Success
15,11,483,483,1,490,490,490,1,32,Success
16,5,245,258,3,256,266,266,2,14,Success
17,1,289,289,1,297,297,297,1,1,Success
18,1,136,136,1,144,144,144,1,1,Success
19,12,427,427,1,435,435,435,1,35,Success
20,12,582,594,3,592,601,601,2,34,Success
21,8,554,562,2,560,570,570,2,24,Success
22,16,148,152,2,160,160,160,1,46,Success
23,4,274,274,1,281,281,281,1,12,Success
24,10,159,163,2,169,169,169,1,28,Success
25,5,346,355,2,353,363,363,2,14,Success
26,2,353,363,2,361,373,373,2,4,Success
27,4,439,443,2,449,449,449,1,11,Success
28,6,370,370,1,377,377,377,1,18,Success
29,14,97,97,1,104,104,104,1,40,Success
30,15,255,259,2,266,266,266,1,45,Success
31,5,332,336,2,344,344,344,1,13,Success
32,8,470,474,2,481,481,481,1,22,Success
33,4,103,107,2,113,113,113,1,11,Success
34,8,323,323,1,331,331,331,1,23,Success
35,6,148,152,2,160,160,160,1,16,Success
36,12,543,547,2,554,554,554,1,35,Success
37,5,347,347,1,355,355,355,1,13,Success
38,8,365,369,2,376,376,376,1,24,Success
39,2,254,258,2,267,267,267,1,5,Success
40,9,527,531,2,539,539,539,1,25,Success
41,3,603,603,1,611,611,611,1,9,Success
42,16,599,603,2,608,608,608,1,47,Success
43,3,113,113,1,120,120,120,1,8,Success
44,8,401,401,1,409,409,409,1,22,Success
45,9,608,608,1,616,616,616,1,25,Success
46,11,291,291,1,298,298,298,1,31,Success
47,6,323,323,1,329,329,329,1,17,Success
48,10,570,570,1,578,578,578,1,29,Success
49,3,495,499,2,507,507,507,1,9,Success
50,4,493,497,2,505,505,505,1,11,Success
51,6,315,323,2,321,329,329,2,18,Success
52,14,552,562,2,560,569,569,2,40,Success
53,5,385,395,2,393,402,402,2,15,Success
54,7,236,250,3,248,257,257,2,19,Success
55,1,469,473,2,480,480,480,1,2,Success
56,13,593,602,2,600,609,609,2,38,Success
57,3,581,585,2,593,593,593,1,7,Success
58,11,362,362,1,369,369,369,1,31,Success
59,2,477,506,5,490,515,515,3,5,Success
60,4,399,417,4,411,424,424,2,10,Success
61,16,180,184,2,192,192,192,1,46,Success
62,2,400,400,1,408,408,408,1,4,Success
63,1,421,425,2,433,433,433,1,3,Success
64,15,438,442,2,450,450,450,1,44,Success
65,6,226,235,2,233,241,241,2,16,Success
66,1,491,491,1,500,500,500,1,3,Success
67,11,645,659,3,657,665,665,2,32,Success
68,3,277,281,2,290,290,290,1,7,Success
69,5,621,625,2,632,632,632,1,14,Success
70,8,460,464,2,472,472,472,1,22,Success
71,13,198,202,2,208,208,208,1,39,Success
72,11,436,450,3,448,458,458,2,33,Success
73,3,277,281,2,290,290,290,1,8,Success
74,2,259,259,1,271,271,271,1,4,Success
75,6,244,248,2,256,256,256,1,16,Success
76,3,463,467,2,477,477,477,1,7,Success
77,3,162,162,1,169,169,169,1,7,Success
78,2,228,242,3,240,249,249,2,4,Success
79,5,296,296,1,304,304,304,1,13,Success
80,5,353,362,2,360,369,369,2,15,Success
81,13,369,379,2,377,387,387,2,37,Success
82,1,108,112,2,120,120,120,1,1,Success
83,9,651,651,1,657,657,657,1,26,Success
84,9,245,258,3,256,266,266,2,25,Success
85,3,365,369,2,377,377,377,1,9,Success
86,11,171,171,1,177,177,177,1,32,Success
87,2,533,547,3,545,555,555,2,6,Success
88,10,515,515,1,524,524,524,1,28,Success
89,12,733,737,2,744,744,744,1,34,Success
90,10,443,490,7,451,497,497,5,29,Success
91,16,700,714,3,712,720,720,2,47,Success
92,15,527,531,2,538,538,538,1,45,Success
93,1,892,896,2,904,904,904,1,1,Success
94,2,557,561,2,569,569,569,1,5,Success
95,3,315,315,1,324,324,324,1,7,Success
96,12,373,377,2,385,385,385,1,35,Success
97,14,292,306,3,304,314,314,2,41,Success
