1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,3,9
1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,7
0,3,2,1,0,1,1,0,2,0,1,1,0,0,1,1,14
1,1,1,0,2,0,1,0,1,0,4,1,1,0,0,0,13
1,3,1,1,0,0,0,3,1,0,1,0,1,2,0,0,14
5,4,0,0,0,2,0,1,0,0,0,0,3,1,0,1,17
2,4,4,0,2,3,0,4,1,1,2,1,1,3,1,3,32
0,3,6,1,2,1,3,3,2,1,1,4,0,2,1,0,30
5,7,1,1,2,2,2,1,0,1,1,3,1,2,2,1,32
2,5,2,8,2,1,3,2,2,3,3,1,2,0,3,0,39
7,8,9,1,3,0,3,1,4,3,4,2,4,1,1,4,55
6,4,9,5,2,2,3,6,3,4,1,7,4,2,5,2,65
10,3,9,3,5,1,3,2,2,3,1,5,7,5,4,4,67
5,5,10,5,1,3,4,1,4,4,2,5,5,3,2,3,62
9,6,13,4,6,5,7,1,3,4,4,3,0,5,3,6,79
8,7,14,4,5,3,5,5,7,9,5,6,2,2,3,8,93
7,4,7,7,8,7,5,7,7,5,4,5,5,7,5,3,93
13,13,7,2,6,8,2,9,4,6,5,5,5,11,8,8,112
14,15,11,6,4,5,5,5,7,8,3,9,4,6,6,6,114
7,8,10,9,9,11,7,6,4,3,2,7,7,4,6,6,106
16,8,14,5,2,4,5,6,6,10,9,3,9,7,3,5,112
15,10,12,8,9,5,3,8,7,7,5,7,5,5,3,9,118
10,11,12,10,3,4,3,9,6,9,13,7,6,6,12,5,126
16,12,9,9,3,8,6,6,7,11,6,5,5,9,10,8,130
16,15,9,6,10,11,7,10,8,7,9,7,7,8,6,4,140
12,15,16,9,5,5,9,10,11,6,6,2,10,13,12,8,149
13,9,20,8,11,5,12,10,10,15,4,3,7,8,8,13,156
16,15,11,9,11,5,6,6,10,9,10,8,6,9,7,10,148
14,24,17,6,12,4,9,8,15,10,6,7,9,9,11,8,169
19,21,13,7,9,12,10,7,11,5,8,10,7,13,11,9,172
13,21,12,12,10,8,5,13,13,6,13,9,9,9,13,10,176
11,20,22,5,10,6,11,15,7,6,11,13,6,6,9,6,164
18,23,22,7,8,15,9,10,13,11,9,12,6,13,15,7,198
13,12,20,10,14,11,13,11,10,13,9,16,13,6,6,9,186
24,19,16,12,9,11,15,9,9,7,9,13,7,13,10,11,194
21,14,22,14,15,10,9,6,6,15,14,8,12,10,11,13,200
18,17,20,11,8,11,16,15,10,11,12,15,6,12,16,11,209
15,21,20,4,9,13,15,14,7,8,12,19,10,8,10,6,191
15,20,11,13,12,15,14,14,13,15,12,12,6,13,12,13,210
14,24,19,6,12,12,10,13,7,11,9,7,9,13,11,14,191
19,24,24,19,17,14,14,14,11,15,5,13,16,9,18,17,249
19,24,24,4,10,4,10,12,9,7,9,9,13,13,11,11,189
18,24,24,11,16,14,15,16,10,14,12,16,14,14,16,9,243
21,24,19,12,7,8,11,8,8,5,15,11,12,14,7,17,199
24,23,18,17,13,12,9,9,11,10,9,13,17,10,13,7,215
18,15,18,11,14,14,4,10,11,7,13,17,11,19,11,8,201
21,24,23,14,10,14,11,13,15,20,11,10,5,16,8,8,223
24,24,24,13,13,11,6,15,17,13,19,9,11,11,15,12,237
24,18,19,13,11,12,16,12,7,13,13,12,14,8,15,15,222
24,12,15,11,20,8,7,11,15,14,12,16,12,11,7,12,207
19,15,24,8,17,12,16,11,9,15,15,15,10,19,8,9,222
18,21,22,10,9,16,12,12,10,14,20,15,23,12,9,6,229
24,19,22,13,9,16,13,13,8,11,15,7,15,13,9,13,220
24,22,20,11,9,14,13,0,11,7,19,19,14,7,14,10,214
24,17,18,15,12,9,12,8,10,13,7,11,8,11,17,8,200
24,18,19,12,8,13,16,11,18,9,10,15,9,17,8,16,223
24,22,19,16,15,16,14,13,10,15,12,12,14,11,12,9,234
22,14,23,9,12,11,13,8,17,13,7,13,9,8,13,7,199
24,21,18,10,18,5,10,15,8,11,14,9,11,15,7,13,209
19,14,17,10,9,14,12,12,12,12,9,14,12,18,16,9,209
24,20,24,10,9,8,12,10,9,18,12,10,8,6,6,9,195
17,21,24,19,9,14,15,14,9,12,9,15,7,12,10,6,213
17,20,10,13,11,16,10,10,11,12,13,11,11,16,13,8,202
13,14,19,12,8,13,9,19,15,10,9,9,10,9,12,9,190
13,19,7,16,14,10,12,9,12,6,15,10,8,10,11,11,183
16,22,23,9,6,9,10,9,11,6,7,8,11,7,13,12,179
21,14,12,7,17,10,7,9,8,7,10,17,17,7,7,11,181
16,11,13,15,14,10,13,9,9,14,8,6,5,10,7,10,170
13,22,20,8,10,6,3,9,8,5,6,7,15,9,6,7,154
18,14,18,4,10,8,9,7,7,5,5,6,13,5,9,10,148
17,14,10,12,7,9,11,11,9,16,7,6,3,10,5,4,151
12,18,19,6,12,8,12,7,7,8,8,6,5,6,7,4,145
10,14,11,9,6,5,10,9,9,6,10,11,8,10,8,4,140
15,12,18,5,5,7,5,9,13,10,8,9,10,11,10,8,155
8,16,11,4,8,7,10,10,8,8,6,5,8,7,8,7,131
10,14,3,10,7,10,4,8,5,4,5,10,8,5,12,8,123
11,7,15,5,7,9,5,10,4,5,9,4,5,4,4,8,112
17,13,4,6,9,2,5,5,8,2,10,4,9,1,8,4,107
9,11,13,11,3,3,6,3,8,9,6,7,2,3,6,5,105
10,11,12,8,2,7,5,4,7,3,5,6,5,6,6,7,104
12,10,9,8,4,6,8,6,10,6,9,6,5,2,4,5,110
7,9,9,2,7,5,9,8,4,8,7,6,3,1,4,6,95
4,12,8,4,3,1,0,6,10,7,5,3,6,4,7,4,84
3,7,9,7,2,5,2,3,2,4,4,4,8,4,5,4,73
5,7,8,0,4,4,6,5,7,1,7,5,1,4,7,4,75
4,8,1,2,9,1,6,6,6,5,3,4,4,2,5,5,71
10,2,8,3,2,5,1,3,3,4,1,1,2,5,2,3,55
5,7,7,2,2,5,4,2,0,6,3,3,3,1,2,2,54
5,6,5,3,1,2,3,3,2,0,0,3,3,1,3,4,44
7,3,6,3,3,5,4,2,2,2,0,2,6,1,2,1,49
3,5,6,5,2,0,3,4,0,1,1,1,1,0,2,0,34
5,4,3,1,2,4,1,1,1,2,4,2,1,1,3,2,37
5,10,2,2,3,2,1,1,1,1,4,2,2,1,3,1,41
2,5,5,3,3,3,2,3,3,2,1,2,1,2,2,1,40
2,5,2,5,0,5,1,1,1,1,0,2,2,4,4,2,37
3,3,1,3,0,0,1,1,4,1,0,0,2,1,0,3,23
2,1,1,1,1,2,0,1,1,2,2,0,1,3,1,1,20
4,3,4,0,0,2,1,2,1,2,2,2,0,0,2,2,27
2,4,1,0,1,0,0,2,1,0,1,0,2,0,2,1,17
4,1,1,0,0,2,3,1,1,1,1,0,1,0,1,0,17
1,4,4,1,1,2,2,2,2,0,0,0,0,0,0,1,20
2,3,2,0,0,1,0,1,0,2,0,0,2,1,0,0,14
2,0,1,0,0,1,0,0,1,0,0,1,2,0,2,0,10
2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,9
3,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,14
1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5
1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,5
3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,7
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
