MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
1,11,270,274,2,281,281,286,1,32,D2D_RA,
2,14,392,402,2,400,410,415,2,41,D2D_RA,
3,3,389,402,3,400,413,418,2,7,D2D_RA,
4,7,280,290,2,288,296,301,2,20,D2D_RA,
5,6,517,530,3,528,538,543,2,17,D2D_RA,
6,6,160,160,1,168,168,173,1,16,D2D_RA,
7,4,408,441,5,416,448,453,4,11,D2D_RA,
8,3,349,353,2,360,360,365,1,9,D2D_RA,
9,6,323,331,2,329,339,344,2,16,D2D_RA,
10,5,55,59,2,64,64,69,1,14,D2D_RA,
11,5,526,530,2,537,537,542,1,15,D2D_RA,
12,13,533,555,4,544,562,567,3,37,D2D_RA,
13,3,278,282,2,292,292,297,1,8,D2D_RA,
14,15,207,211,2,218,218,223,1,45,D2D_RA,
15,11,483,483,1,490,490,495,1,32,D2D_RA,
16,5,245,258,3,256,266,271,2,14,D2D_RA,
17,1,289,289,1,297,297,302,1,1,D2D_RA,
18,1,136,136,1,144,144,149,1,1,D2D_RA,
19,12,427,427,1,435,435,440,1,35,D2D_RA,
20,12,582,586,2,592,592,597,1,36,D2D_RA,
21,8,554,554,1,560,560,565,1,23,D2D_RA,
22,16,148,152,2,160,160,165,1,46,D2D_RA,
23,4,274,274,1,281,281,286,1,12,D2D_RA,
24,10,159,163,2,169,169,174,1,28,D2D_RA,
25,5,346,355,2,353,363,368,2,14,D2D_RA,
26,2,353,363,2,361,373,378,2,4,D2D_RA,
27,4,439,443,2,450,450,455,1,10,D2D_RA,
28,6,370,370,1,377,377,382,1,18,D2D_RA,
29,14,97,97,1,104,104,109,1,40,D2D_RA,
30,15,255,259,2,266,266,271,1,45,D2D_RA,
31,5,332,336,2,344,344,349,1,13,D2D_RA,
32,8,470,483,3,481,490,495,2,24,D2D_RA,
33,4,103,107,2,113,113,118,1,11,D2D_RA,
34,8,323,323,1,331,331,336,1,23,D2D_RA,
35,6,148,152,2,160,160,165,1,16,D2D_RA,
36,12,543,560,4,554,568,573,2,34,D2D_RA,
37,5,347,347,1,355,355,360,1,13,D2D_RA,
38,8,365,369,2,376,376,381,1,24,D2D_RA,
39,2,254,258,2,267,267,272,1,5,D2D_RA,
40,9,527,531,2,539,539,544,1,25,D2D_RA,
41,3,603,603,1,612,612,617,1,7,D2D_RA,
42,16,599,603,2,608,608,613,1,48,D2D_RA,
43,3,113,113,1,120,120,125,1,8,D2D_RA,
44,8,401,401,1,409,409,414,1,24,D2D_RA,
45,9,608,608,1,616,616,621,1,25,D2D_RA,
46,11,291,291,1,298,298,303,1,31,D2D_RA,
47,6,323,323,1,329,329,334,1,17,D2D_RA,
48,10,570,570,1,578,578,583,1,28,D2D_RA,
49,3,495,499,2,508,508,513,1,8,D2D_RA,
50,4,493,497,2,505,505,510,1,12,D2D_RA,
51,6,315,323,2,321,329,334,2,18,D2D_RA,
52,14,552,562,2,560,569,574,2,40,D2D_RA,
53,5,385,395,2,393,402,407,2,15,D2D_RA,
54,7,236,250,3,248,257,262,2,19,D2D_RA,
55,1,469,473,2,480,480,485,1,3,D2D_RA,
56,13,593,593,1,600,600,605,1,38,D2D_RA,
57,3,581,585,2,593,593,598,1,7,D2D_RA,
58,11,362,362,1,369,369,374,1,31,D2D_RA,
59,2,477,497,4,491,506,511,2,5,D2D_RA,
60,4,399,403,2,411,411,416,1,11,D2D_RA,
61,16,180,184,2,192,192,197,1,46,D2D_RA,
62,2,400,400,1,408,408,413,1,4,D2D_RA,
63,1,421,425,2,433,433,438,1,3,D2D_RA,
