MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
1,9,270,283,3,281,291,291,2,27,D2D_RA
2,11,392,402,2,400,410,410,2,32,D2D_RA
3,7,389,393,2,401,401,401,1,20,D2D_RA
4,8,280,290,2,288,298,298,2,24,D2D_RA
5,8,517,521,2,529,529,529,1,23,D2D_RA
6,16,160,160,1,168,168,168,1,46,D2D_RA
7,7,408,418,2,416,425,425,2,21,D2D_RA
8,11,349,353,2,361,361,361,1,31,D2D_RA
9,15,323,323,1,329,329,329,1,45,D2D_RA
10,7,55,59,2,64,64,64,1,19,D2D_RA
11,3,526,530,2,538,538,538,1,9,D2D_RA
12,8,533,537,2,544,544,544,1,22,D2D_RA
13,16,278,282,2,290,290,290,1,47,D2D_RA
14,15,207,211,2,218,218,218,1,44,D2D_RA
15,16,483,483,1,491,491,491,1,46,D2D_RA
16,15,245,258,3,256,265,265,2,45,D2D_RA
17,16,289,307,3,296,314,314,3,47,D2D_RA
18,11,136,136,1,144,144,144,1,31,D2D_RA
19,5,427,427,1,436,436,436,1,13,D2D_RA
20,3,582,586,2,594,594,594,1,7,D2D_RA
21,10,554,554,1,562,562,562,1,28,D2D_RA
22,1,148,152,2,160,160,160,1,1,D2D_RA
23,12,274,274,1,281,281,281,1,34,D2D_RA
24,15,159,163,2,169,169,169,1,44,D2D_RA
25,10,346,346,1,352,352,352,1,30,D2D_RA
26,12,353,363,2,361,370,370,2,36,D2D_RA
27,7,439,443,2,451,451,451,1,20,D2D_RA
28,15,370,370,1,379,379,379,1,44,D2D_RA
29,3,97,97,1,104,104,104,1,7,D2D_RA
30,10,255,259,2,265,265,265,1,30,D2D_RA
31,9,332,346,3,344,354,354,2,25,D2D_RA
32,2,470,483,3,481,492,492,2,4,D2D_RA
33,10,103,107,2,112,112,112,1,30,D2D_RA
34,14,323,323,1,333,333,333,1,42,D2D_RA
35,9,148,152,2,160,160,160,1,25,D2D_RA
36,15,543,547,2,554,554,554,1,44,D2D_RA
37,8,347,360,3,354,368,368,2,22,D2D_RA
38,15,365,369,2,377,377,377,1,43,D2D_RA
39,3,254,267,3,265,275,275,2,7,D2D_RA
40,12,527,531,2,542,542,542,1,34,D2D_RA
41,11,603,603,1,610,610,610,1,31,D2D_RA
42,7,599,616,4,610,624,624,2,19,D2D_RA
43,7,113,122,2,120,129,129,2,19,D2D_RA
44,8,401,401,1,409,409,409,1,22,D2D_RA
45,6,608,618,2,616,625,625,2,16,D2D_RA
46,5,291,291,1,297,297,297,1,14,D2D_RA
47,7,323,336,3,330,344,344,2,19,D2D_RA
48,3,570,570,1,578,578,578,1,9,D2D_RA
49,13,495,499,2,507,507,507,1,37,D2D_RA
50,12,493,506,3,504,515,515,2,35,D2D_RA
51,13,315,329,3,323,337,337,2,38,D2D_RA
52,1,552,552,1,560,560,560,1,1,D2D_RA
53,10,385,394,2,392,401,401,2,30,D2D_RA
54,2,236,240,2,248,248,248,1,4,D2D_RA
55,3,469,473,2,481,481,481,1,9,D2D_RA
56,11,593,603,2,601,610,610,2,32,D2D_RA
57,11,581,585,2,592,592,592,1,33,D2D_RA
58,1,362,362,1,371,371,371,1,1,D2D_RA
59,9,477,481,2,489,489,489,1,26,D2D_RA
60,14,399,403,2,411,411,411,1,40,D2D_RA
