success,beta_nMTCD
0,0
2,0
2,2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,1
3,0
8,0
8,5
8,0
8,0
10,0
11,2
13,1
14,2
18,1
22,4
25,4
29,3
30,6
37,1
40,5
42,3
48,2
53,8
62,5
69,10
79,9
86,9
98,5
107,10
113,11
122,6
125,9
134,9
146,7
155,8
168,15
181,11
188,20
198,7
206,14
221,12
232,12
248,11
261,18
281,13
292,13
303,11
317,15
333,17
349,10
364,13
374,18
391,13
414,16
428,22
440,12
458,21
478,21
501,24
522,24
541,20
561,21
582,25
604,21
626,24
642,26
663,27
676,24
696,30
707,27
726,36
734,31
746,40
748,45
759,37
760,30
771,37
772,30
781,43
782,32
786,30
786,35
788,47
789,32
790,38
790,39
790,39
791,46
791,41
791,32
792,43
792,36
792,40
792,37
792,48
792,38
792,42
792,43
792,46
793,57
793,54
794,47
794,54
794,47
795,65
795,38
795,50
795,65
795,55
795,50
795,52
795,66
795,63
795,73
795,69
795,71
795,78
795,49
795,69
795,55
795,67
795,64
795,63
795,64
795,74
795,61
795,74
795,68
795,58
795,74
795,79
795,76
795,73
795,82
795,75
795,86
795,80
795,81
795,102
795,73
795,74
795,76
795,87
795,75
795,90
795,75
795,89
795,81
795,99
795,85
795,76
795,93
795,77
795,98
795,98
795,108
795,92
795,75
795,97
795,110
795,99
795,90
795,112
795,106
795,98
795,122
795,114
795,89
795,100
795,106
795,109
795,105
795,114
795,121
795,120
795,113
795,90
795,112
795,106
795,117
795,127
795,117
795,113
795,131
795,142
795,112
795,115
795,108
795,136
795,108
795,142
795,111
795,123
795,135
795,118
795,114
795,141
795,128
795,136
795,136
795,124
795,131
795,126
795,120
795,140
795,131
795,123
795,150
795,136
795,152
795,134
795,133
795,141
795,126
795,156
795,143
795,157
795,152
795,158
795,144
795,133
795,148
795,152
795,162
795,168
795,124
795,171
795,155
795,159
795,146
795,148
795,156
795,153
795,145
795,182
795,160
795,159
795,160
795,143
795,154
795,151
795,160
795,150
795,154
795,160
795,164
795,172
795,175
795,167
795,153
795,168
795,171
795,156
795,169
795,154
795,168
795,176
795,155
795,174
795,162
795,167
795,175
795,177
795,162
795,163
795,173
795,166
795,169
795,166
795,174
795,168
795,193
795,177
795,185
795,191
795,160
795,192
795,171
795,185
795,183
795,195
795,154
795,184
795,179
795,218
795,168
795,181
795,173
795,196
795,202
795,171
795,177
795,190
795,185
795,171
795,206
795,194
795,165
795,196
795,184
795,195
795,187
795,176
795,190
795,190
795,211
795,201
795,187
795,176
795,206
795,182
795,203
795,201
795,185
795,195
795,210
795,199
795,192
795,194
795,197
795,187
795,185
795,184
795,197
795,224
795,197
795,178
795,193
795,207
795,171
795,204
795,170
795,203
795,198
795,211
795,212
795,220
795,207
795,215
795,182
795,208
795,238
795,208
795,191
795,197
795,203
795,215
795,234
795,202
795,183
795,210
795,209
795,199
795,186
795,202
795,215
795,195
795,224
795,217
795,223
795,192
795,192
795,194
795,218
795,188
795,198
795,175
795,206
795,217
795,195
795,167
795,201
795,210
795,206
795,213
795,193
795,180
795,201
795,186
795,209
795,205
795,232
795,201
795,199
795,229
795,205
795,190
795,202
795,202
795,203
795,225
795,187
795,207
795,217
795,211
795,197
795,224
795,210
795,190
795,198
795,232
795,205
795,219
795,201
795,222
795,193
795,214
795,205
795,214
795,188
795,216
795,239
795,189
795,224
795,214
795,212
795,202
795,224
795,196
795,225
795,214
795,203
795,210
795,207
795,200
795,209
795,204
795,215
795,193
795,220
795,206
795,216
795,209
795,196
795,227
795,200
795,201
795,202
795,198
795,184
795,201
795,195
795,196
795,215
795,192
