initateRA,firstRA,successRA,retranmission
272,270,277,1
240,240,245,0
410,392,-1,10
271,271,276,0
407,389,-1,10
461,443,-1,10
280,280,285,0
412,394,-1,10
535,517,-1,10
569,551,574,9
160,160,165,0
476,458,-1,10
426,408,-1,10
449,431,-1,10
367,349,-1,10
625,607,-1,10
339,323,344,8
267,267,272,0
57,55,62,1
370,352,-1,10
544,526,-1,10
581,569,586,6
551,533,-1,10
402,384,-1,10
282,278,287,2
203,203,208,0
211,207,216,2
286,282,291,2
501,483,-1,10
300,300,305,0
247,245,252,1
514,496,-1,10
307,289,312,9
617,599,-1,10
138,136,143,1
752,752,757,0
435,427,440,4
261,261,266,0
584,582,589,1
589,571,-1,10
556,554,561,1
464,446,-1,10
148,148,153,0
282,280,287,1
274,274,279,0
564,546,-1,10
159,159,164,0
550,540,555,5
364,346,-1,10
465,447,-1,10
371,353,-1,10
367,349,-1,10
457,439,-1,10
584,566,-1,10
382,370,387,6
808,808,813,0
97,97,102,0
420,402,-1,10
255,255,260,0
402,384,-1,10
350,332,-1,10
571,553,-1,10
488,470,-1,10
519,501,-1,10
103,103,108,0
573,555,-1,10
323,323,328,0
338,332,343,3
150,148,155,1
567,555,572,6
561,543,566,9
511,497,516,7
365,347,-1,10
345,341,350,2
383,365,-1,10
771,771,776,0
258,254,263,2
499,481,-1,10
537,527,542,5
756,756,761,0
621,603,-1,10
290,290,295,0
617,599,-1,10
557,553,562,2
113,113,118,0
282,280,287,1
419,401,-1,10
226,224,231,1
612,608,617,2
417,399,-1,10
295,291,300,2
686,686,691,0
341,323,-1,10
641,623,-1,10
582,570,587,6
568,550,-1,10
513,495,-1,10
666,666,671,0
511,493,-1,10
323,305,-1,10
331,315,336,8
571,553,-1,10
570,552,-1,10
245,243,250,1
391,385,396,3
433,415,-1,10
238,236,243,1
615,615,620,0
487,469,-1,10
565,551,570,7
611,593,-1,10
320,310,325,5
597,581,602,8
361,343,-1,10
380,362,-1,10
616,598,-1,10
495,477,-1,10
121,121,126,0
405,399,410,3
426,408,-1,10
180,180,185,0
215,215,220,0
418,400,-1,10
430,412,-1,10
431,421,436,5
128,128,133,0
456,438,-1,10
517,499,-1,10
226,226,231,0
424,414,429,5
509,491,-1,10
361,343,-1,10
653,645,658,4
422,408,427,7
277,277,282,0
407,389,-1,10
637,621,642,8
514,512,519,1
478,460,-1,10
373,355,-1,10
198,198,203,0
420,412,425,4
454,436,-1,10
395,383,400,6
279,277,284,1
286,282,291,2
259,259,264,0
368,350,-1,10
246,244,251,1
647,641,652,3
467,463,472,2
518,500,523,9
162,162,167,0
577,561,582,8
230,228,235,1
401,383,-1,10
298,296,303,1
461,443,-1,10
371,353,-1,10
252,250,257,1
373,369,378,2
102,102,107,0
108,108,113,0
491,473,-1,10
653,651,658,1
854,854,859,0
249,245,254,2
507,489,-1,10
383,365,-1,10
631,631,636,0
171,171,176,0
496,478,-1,10
551,533,556,9
763,761,768,1
533,515,-1,10
264,264,269,0
733,733,738,0
457,439,-1,10
461,443,-1,10
534,516,-1,10
700,700,705,0
281,281,286,0
545,527,-1,10
372,354,-1,10
892,892,897,0
792,792,797,0
575,557,-1,10
474,456,-1,10
333,315,-1,10
402,384,-1,10
391,373,-1,10
197,197,202,0
292,292,297,0
316,314,321,1
523,505,-1,10
518,500,-1,10
584,566,-1,10
250,250,255,0
312,310,317,1
741,741,746,0
541,523,-1,10
318,308,323,5
249,245,254,2
266,266,271,0
660,660,665,0
228,224,233,2
570,552,-1,10
401,383,-1,10
586,574,591,6
278,274,283,2
696,694,701,1
528,510,-1,10
483,465,-1,10
339,333,344,3
358,340,-1,10
322,320,327,1
113,113,118,0
513,495,-1,10
716,714,721,1
326,324,331,1
571,555,576,8
432,414,-1,10
418,400,-1,10
311,311,316,0
396,378,-1,10
368,350,-1,10
500,482,-1,10
488,480,493,4
394,376,-1,10
507,489,-1,10
662,662,667,0
501,483,-1,10
379,361,-1,10
400,382,405,9
473,455,-1,10
305,291,310,7
416,410,421,3
530,512,-1,10
641,623,646,9
744,744,749,0
384,366,389,9
416,398,-1,10
718,718,723,0
549,531,-1,10
279,275,284,2
266,264,271,1
505,489,510,8
270,266,275,2
246,244,251,1
683,683,688,0
426,408,-1,10
446,428,-1,10
271,271,276,0
354,336,-1,10
828,828,833,0
480,462,-1,10
454,436,-1,10
478,460,-1,10
187,187,192,0
246,238,251,4
176,176,181,0
608,590,-1,10
115,115,120,0
655,655,660,0
664,664,669,0
204,204,209,0
237,237,242,0
398,380,-1,10
555,537,-1,10
197,197,202,0
574,574,579,0
536,522,541,7
346,346,351,0
575,557,-1,10
379,361,-1,10
556,538,-1,10
313,311,318,1
515,497,-1,10
411,393,-1,10
614,610,619,2
367,349,-1,10
282,282,287,0
320,320,325,0
507,489,512,9
487,469,-1,10
336,336,341,0
214,214,219,0
687,687,692,0
231,231,236,0
484,466,-1,10
394,376,-1,10
412,394,-1,10
402,396,407,3
653,651,658,1
348,330,-1,10
139,139,144,0
517,499,-1,10
393,375,-1,10
691,691,696,0
681,681,686,0
336,318,-1,10
515,497,-1,10
805,805,810,0
465,447,-1,10
241,241,246,0
659,659,664,0
242,238,247,2
245,245,250,0
527,509,-1,10
318,312,323,3
288,286,293,1
96,94,101,1
409,391,-1,10
337,319,-1,10
439,421,-1,10
505,487,-1,10
337,319,-1,10
499,491,504,4
492,474,-1,10
282,280,287,1
535,517,-1,10
342,324,-1,10
198,198,203,0
275,275,280,0
502,484,-1,10
618,618,623,0
178,178,183,0
388,370,-1,10
723,723,728,0
528,510,-1,10
164,164,169,0
423,405,-1,10
295,293,300,1
390,372,-1,10
468,450,-1,10
429,411,-1,10
279,277,284,1
684,684,689,0
372,354,-1,10
91,91,96,0
539,521,-1,10
416,398,-1,10
236,232,241,2
472,454,-1,10
251,251,256,0
213,213,218,0
361,343,-1,10
858,858,863,0
165,165,170,0
277,275,282,1
658,656,663,1
416,398,-1,10
451,433,-1,10
676,676,681,0
621,603,-1,10
547,529,-1,10
204,204,209,0
417,399,-1,10
314,310,319,2
341,323,346,9
775,775,780,0
457,451,462,3
661,661,666,0
358,340,-1,10
163,163,168,0
247,247,252,0
307,301,312,3
414,398,419,8
612,606,617,3
246,246,251,0
307,297,312,5
582,580,587,1
142,142,147,0
340,332,345,4
775,775,780,0
370,352,-1,10
274,274,279,0
783,783,788,0
287,283,292,2
571,553,-1,10
183,183,188,0
573,561,578,6
151,151,156,0
494,476,-1,10
676,672,681,2
656,654,661,1
396,378,-1,10
553,535,-1,10
591,573,-1,10
296,296,301,0
458,440,-1,10
228,228,233,0
639,621,-1,10
785,785,790,0
677,677,682,0
342,324,-1,10
496,478,-1,10
471,453,-1,10
438,420,-1,10
435,417,-1,10
273,273,278,0
296,296,301,0
278,278,283,0
463,445,-1,10
614,596,-1,10
607,593,612,7
254,254,259,0
326,314,331,6
210,210,215,0
410,392,-1,10
536,536,541,0
416,398,-1,10
701,701,706,0
590,584,595,3
620,602,-1,10
547,539,552,4
882,882,887,0
839,839,844,0
621,611,626,5
464,448,469,8
765,765,770,0
463,449,468,7
232,232,237,0
344,332,349,6
465,463,470,1
225,225,230,0
572,554,-1,10
539,521,-1,10
266,266,271,0
836,836,841,0
364,346,-1,10
508,490,-1,10
424,406,-1,10
175,175,180,0
617,599,-1,10
635,631,640,2
455,437,-1,10
513,495,-1,10
632,626,637,3
315,307,320,4
366,348,-1,10
363,345,-1,10
462,444,-1,10
261,261,266,0
490,472,-1,10
478,470,483,4
495,477,-1,10
639,629,644,5
642,640,647,1
304,304,309,0
291,287,296,2
165,165,170,0
382,364,-1,10
426,412,431,7
116,116,121,0
316,316,321,0
205,205,210,0
442,424,-1,10
279,279,284,0
374,356,-1,10
424,418,429,3
500,482,-1,10
452,434,-1,10
755,755,760,0
508,490,-1,10
609,591,-1,10
584,566,589,9
627,615,632,6
208,208,213,0
345,333,350,6
577,569,582,4
327,309,-1,10
330,322,335,4
600,596,605,2
478,460,-1,10
476,458,-1,10
434,416,-1,10
288,288,293,0
424,406,-1,10
199,199,204,0
441,423,-1,10
111,111,116,0
660,658,665,1
495,477,-1,10
231,231,236,0
674,674,679,0
587,569,-1,10
446,428,-1,10
292,290,297,1
651,633,-1,10
304,304,309,0
540,522,-1,10
492,474,-1,10
396,378,-1,10
401,383,-1,10
472,462,477,5
510,492,-1,10
692,692,697,0
712,712,717,0
226,224,231,1
638,638,643,0
208,204,213,2
371,353,-1,10
320,316,325,2
293,289,298,2
304,302,309,1
624,624,629,0
582,564,-1,10
387,369,-1,10
462,444,-1,10
202,200,207,1
472,454,-1,10
584,570,589,7
634,634,639,0
306,304,311,1
218,216,223,1
578,568,583,5
441,423,-1,10
513,495,-1,10
442,424,-1,10
552,534,-1,10
300,298,305,1
30,30,35,0
491,473,-1,10
139,139,144,0
195,195,200,0
171,171,176,0
504,486,-1,10
350,332,-1,10
242,240,247,1
367,349,-1,10
671,669,676,1
461,443,-1,10
165,165,170,0
530,512,-1,10
347,339,352,4
369,351,-1,10
372,354,-1,10
467,449,-1,10
411,393,-1,10
448,430,-1,10
253,249,258,2
641,639,646,1
400,382,-1,10
430,412,-1,10
529,511,-1,10
727,727,732,0
110,108,115,1
279,277,284,1
552,534,-1,10
458,440,-1,10
603,585,-1,10
261,261,266,0
896,896,901,0
540,522,-1,10
457,439,-1,10
524,524,529,0
264,264,269,0
243,243,248,0
310,308,315,1
396,378,-1,10
452,434,-1,10
262,262,267,0
630,630,635,0
327,309,-1,10
123,123,128,0
425,407,-1,10
417,399,-1,10
559,551,564,4
194,194,199,0
139,139,144,0
597,593,602,2
431,413,-1,10
443,425,-1,10
589,589,594,0
631,613,-1,10
334,328,339,3
496,482,501,7
548,530,-1,10
316,314,321,1
605,587,-1,10
590,572,-1,10
97,97,102,0
750,750,755,0
263,263,268,0
549,531,-1,10
569,569,574,0
424,406,-1,10
676,676,681,0
70,70,75,0
145,145,150,0
548,530,-1,10
