initateRA,firstRA,successRA,retranmission
272,270,277,1
240,240,245,0
402,392,407,5
273,271,278,1
391,389,396,1
443,443,448,0
280,280,285,0
408,394,413,7
521,517,526,2
553,551,558,1
162,160,167,1
476,458,-1,10
426,408,-1,10
431,431,436,0
353,349,358,2
607,607,612,0
325,323,330,1
267,267,272,0
55,55,60,0
352,352,357,0
534,526,539,4
573,569,578,2
539,533,544,3
384,384,389,0
278,278,283,0
205,203,210,1
207,207,212,0
282,282,287,0
489,483,494,3
300,300,305,0
249,245,254,2
512,496,517,8
291,289,296,1
599,599,604,0
136,136,141,0
752,752,757,0
427,427,432,0
261,261,266,0
582,582,587,0
571,571,576,0
556,554,561,1
464,446,-1,10
150,148,155,1
280,280,285,0
278,274,283,2
552,546,557,3
159,159,164,0
556,540,561,8
358,346,363,6
447,447,452,0
353,353,358,0
351,349,356,1
439,439,444,0
566,566,571,0
378,370,383,4
808,808,813,0
97,97,102,0
420,402,-1,10
255,255,260,0
386,384,391,1
332,332,337,0
553,553,558,0
488,470,-1,10
507,501,512,3
103,103,108,0
557,555,562,1
323,323,328,0
334,332,339,1
148,148,153,0
555,555,560,0
543,543,548,0
497,497,502,0
347,347,352,0
341,341,346,0
375,365,380,5
771,771,776,0
256,254,261,1
481,481,486,0
535,527,540,4
756,756,761,0
603,603,608,0
290,290,295,0
599,599,604,0
553,553,558,0
113,113,118,0
284,280,289,2
407,401,412,3
224,224,229,0
608,608,613,0
401,399,406,1
293,291,298,1
688,686,693,1
323,323,328,0
623,623,628,0
576,570,581,3
554,550,559,2
499,495,504,2
668,666,673,1
495,493,500,1
307,305,312,1
315,315,320,0
559,553,564,3
570,552,-1,10
247,243,252,2
391,385,396,3
419,415,424,2
236,236,241,0
615,615,620,0
469,469,474,0
553,551,558,1
595,593,600,1
310,310,315,0
581,581,586,0
343,343,348,0
362,362,367,0
598,598,603,0
477,477,482,0
121,121,126,0
401,399,406,1
408,408,413,0
184,180,189,2
215,215,220,0
418,400,-1,10
430,412,435,9
421,421,426,0
128,128,133,0
456,438,-1,10
505,499,510,3
226,226,231,0
432,414,-1,10
491,491,496,0
343,343,348,0
645,645,650,0
426,408,-1,10
277,277,282,0
393,389,398,2
621,621,626,0
530,512,535,9
478,460,-1,10
357,355,362,1
198,198,203,0
430,412,-1,10
454,436,-1,10
389,383,394,3
279,277,284,1
284,282,289,1
259,259,264,0
358,350,363,4
246,244,251,1
641,641,646,0
463,463,468,0
518,500,-1,10
162,162,167,0
561,561,566,0
228,228,233,0
391,383,396,4
296,296,301,0
445,443,450,1
357,353,362,2
252,250,257,1
369,369,374,0
102,102,107,0
108,108,113,0
473,473,478,0
651,651,656,0
854,854,859,0
245,245,250,0
495,489,500,3
367,365,372,1
631,631,636,0
173,171,178,1
496,478,-1,10
545,533,550,6
761,761,766,0
529,515,534,7
264,264,269,0
733,733,738,0
443,439,448,2
443,443,448,0
520,516,525,2
702,700,707,1
281,281,286,0
527,527,532,0
354,354,359,0
892,892,897,0
792,792,797,0
565,557,570,4
474,456,-1,10
319,315,324,2
386,384,391,1
375,373,380,1
199,197,204,1
292,292,297,0
318,314,323,2
511,505,516,3
518,500,-1,10
568,566,573,1
254,250,259,2
310,310,315,0
741,741,746,0
527,523,532,2
312,308,317,2
245,245,250,0
270,266,275,2
660,660,665,0
224,224,229,0
562,552,567,5
385,383,390,1
574,574,579,0
274,274,279,0
694,694,699,0
524,510,529,7
465,465,470,0
333,333,338,0
342,340,347,1
320,320,325,0
113,113,118,0
495,495,500,0
714,714,719,0
326,324,331,1
557,555,562,1
432,414,437,9
400,400,405,0
311,311,316,0
388,378,393,5
350,350,355,0
500,482,-1,10
488,480,493,4
378,376,383,1
489,489,494,0
662,662,667,0
487,483,492,2
363,361,368,1
398,382,403,8
455,455,460,0
291,291,296,0
428,410,-1,10
514,512,519,1
623,623,628,0
744,744,749,0
370,366,375,2
412,398,417,7
720,718,725,1
539,531,544,4
275,275,280,0
264,264,269,0
491,489,496,1
268,266,273,1
248,244,253,2
683,683,688,0
426,408,-1,10
436,428,441,4
271,271,276,0
340,336,345,2
828,828,833,0
480,462,-1,10
454,436,-1,10
478,460,-1,10
187,187,192,0
238,238,243,0
176,176,181,0
590,590,595,0
117,115,122,1
661,655,666,3
664,664,669,0
206,204,211,1
239,237,244,1
382,380,387,1
541,537,546,2
201,197,206,2
574,574,579,0
530,522,535,4
350,346,355,2
559,557,564,1
361,361,366,0
548,538,553,5
311,311,316,0
509,497,514,6
393,393,398,0
612,610,617,1
353,349,358,2
286,282,291,2
322,320,327,1
499,489,504,5
471,469,476,1
336,336,341,0
214,214,219,0
687,687,692,0
231,231,236,0
484,466,-1,10
382,376,387,3
398,394,403,2
404,396,409,4
651,651,656,0
334,330,339,2
139,139,144,0
499,499,504,0
379,375,384,2
691,691,696,0
681,681,686,0
318,318,323,0
501,497,506,2
805,805,810,0
449,447,454,1
241,241,246,0
659,659,664,0
238,238,243,0
245,245,250,0
511,509,516,1
314,312,319,1
286,286,291,0
94,94,99,0
399,391,404,4
319,319,324,0
421,421,426,0
495,487,500,4
319,319,324,0
495,491,500,2
484,474,489,5
280,280,285,0
525,517,530,4
324,324,329,0
198,198,203,0
277,275,282,1
502,484,-1,10
618,618,623,0
178,178,183,0
376,370,381,3
723,723,728,0
522,510,527,6
164,164,169,0
405,405,410,0
295,293,300,1
388,372,393,8
468,450,-1,10
411,411,416,0
277,277,282,0
686,684,691,1
362,354,367,4
91,91,96,0
521,521,526,0
416,398,-1,10
232,232,237,0
472,454,-1,10
251,251,256,0
213,213,218,0
345,343,350,1
858,858,863,0
165,165,170,0
277,275,282,1
656,656,661,0
416,398,-1,10
433,433,438,0
678,676,683,1
603,603,608,0
531,529,536,1
204,204,209,0
403,399,408,2
310,310,315,0
325,323,330,1
775,775,780,0
453,451,458,1
661,661,666,0
344,340,349,2
163,163,168,0
251,247,256,2
301,301,306,0
404,398,409,3
606,606,611,0
246,246,251,0
297,297,302,0
580,580,585,0
144,142,149,1
334,332,339,1
775,775,780,0
354,352,359,1
276,274,281,1
783,783,788,0
283,283,288,0
557,553,562,2
189,183,194,3
565,561,570,2
151,151,156,0
494,476,-1,10
672,672,677,0
654,654,659,0
390,378,395,6
543,535,548,4
577,573,582,2
298,296,303,1
458,440,-1,10
232,228,237,2
621,621,626,0
785,785,790,0
677,677,682,0
326,324,331,1
496,478,-1,10
453,453,458,0
426,420,431,3
421,417,426,2
275,273,280,1
298,296,303,1
278,278,283,0
445,445,450,0
600,596,605,2
593,593,598,0
254,254,259,0
320,314,325,3
212,210,217,1
392,392,397,0
546,536,551,5
416,398,-1,10
703,701,708,1
586,584,591,1
602,602,607,0
543,539,548,2
882,882,887,0
839,839,844,0
613,611,618,1
466,448,-1,10
765,765,770,0
455,449,460,3
232,232,237,0
344,332,349,6
467,463,472,2
225,225,230,0
558,554,563,2
527,521,532,3
266,266,271,0
836,836,841,0
346,346,351,0
504,490,509,7
424,406,-1,10
177,175,182,1
599,599,604,0
631,631,636,0
437,437,442,0
513,495,518,9
626,626,631,0
307,307,312,0
350,348,355,1
345,345,350,0
462,444,-1,10
261,261,266,0
490,472,-1,10
488,470,-1,10
479,477,484,1
629,629,634,0
640,640,645,0
306,304,311,1
289,287,294,1
167,165,172,1
366,364,371,1
414,412,419,1
116,116,121,0
324,316,329,4
205,205,210,0
442,424,447,9
279,279,284,0
358,356,363,1
418,418,423,0
500,482,-1,10
452,434,-1,10
755,755,760,0
508,490,-1,10
591,591,596,0
566,566,571,0
617,615,622,1
208,208,213,0
339,333,344,3
571,569,576,1
313,309,318,2
334,322,339,6
598,596,603,1
478,460,-1,10
476,458,-1,10
418,416,423,1
288,288,293,0
424,406,-1,10
201,199,206,1
427,423,432,2
111,111,116,0
658,658,663,0
479,477,484,1
231,231,236,0
674,674,679,0
569,569,574,0
428,428,433,0
298,290,303,4
635,633,640,1
304,304,309,0
538,522,543,8
478,474,483,2
380,378,385,1
391,383,396,4
468,462,473,3
508,492,513,8
692,692,697,0
712,712,717,0
224,224,229,0
640,638,645,1
206,204,211,1
353,353,358,0
316,316,321,0
301,289,306,6
302,302,307,0
628,624,633,2
570,564,575,3
369,369,374,0
462,444,-1,10
202,200,207,1
472,454,-1,10
572,570,577,1
636,634,641,1
304,304,309,0
216,216,221,0
570,568,575,1
427,423,432,2
503,495,508,4
432,424,437,4
552,534,-1,10
302,298,307,2
30,30,35,0
473,473,478,0
139,139,144,0
195,195,200,0
171,171,176,0
486,486,491,0
332,332,337,0
240,240,245,0
351,349,356,1
669,669,674,0
447,443,452,2
169,165,174,2
530,512,535,9
343,339,348,2
351,351,356,0
360,354,365,3
451,449,456,1
395,393,400,1
436,430,441,3
251,249,256,1
639,639,644,0
388,382,393,3
430,412,-1,10
529,511,534,9
727,727,732,0
108,108,113,0
277,277,282,0
544,534,549,5
458,440,-1,10
589,585,594,2
263,261,268,1
896,896,901,0
522,522,527,0
439,439,444,0
538,524,543,7
264,264,269,0
243,243,248,0
310,308,315,1
384,378,389,3
452,434,-1,10
266,262,271,2
630,630,635,0
309,309,314,0
125,123,130,1
407,407,412,0
399,399,404,0
553,551,558,1
196,194,201,1
139,139,144,0
599,593,604,3
421,413,426,4
427,425,432,1
589,589,594,0
613,613,618,0
334,328,339,3
500,482,-1,10
536,530,541,3
316,314,321,1
587,587,592,0
574,572,579,1
97,97,102,0
750,750,755,0
263,263,268,0
535,531,540,2
569,569,574,0
424,406,-1,10
676,676,681,0
70,70,75,0
145,145,150,0
548,530,-1,10
453,453,458,0
348,344,353,2
579,579,584,0
291,291,296,0
486,468,-1,10
500,484,505,8
218,218,223,0
551,549,556,1
379,379,384,0
523,523,528,0
584,584,589,0
481,481,486,0
325,325,330,0
555,555,560,0
461,461,466,0
145,145,150,0
636,636,641,0
232,232,237,0
408,404,413,2
377,377,382,0
315,315,320,0
528,524,533,2
318,318,323,0
486,468,-1,10
262,258,267,2
