initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
3,51,0,3,0,0,1,3
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
2,53,1,0,0,0.0185185,1,2
2,52,0,2,0,0,1,2
3,51,0,3,0,0,1,3
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
5,50,1,3,0,0.0185185,1,5
1,53,0,1,0,0,1,1
3,51,0,3,0,0,1,3
1,53,0,1,0,0,1,1
4,50,0,4,0,0,1,4
0,54,0,0,0,0,0,0
3,51,0,3,0,0,1,3
3,51,0,3,0,0,1,3
3,51,0,3,0,0,1,3
3,51,0,3,0,0,1,3
4,50,0,4,0,0,1,4
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
4,50,0,4,0,0,1,4
4,51,1,2,0,0.0185185,1,4
7,47,0,7,0,0,1,7
4,50,0,4,0,0,1,4
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
4,50,0,4,0,0,1,4
2,52,0,2,0,0,1,2
4,50,0,4,0,0,1,4
8,47,1,6,0,0.0185185,1,8
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
6,48,0,6,0,0,1,6
1,53,0,1,0,0,1,1
4,50,0,4,0,0,1,4
5,49,0,5,0,0,1,5
2,52,0,2,0,0,1,2
3,51,0,3,0,0,1,3
4,50,0,4,0,0,1,4
2,52,0,2,0,0,1,2
7,48,1,5,0,0.0185185,1,7
5,49,0,5,0,0,1,5
4,50,0,4,0,0,1,4
4,50,0,4,0,0,1,4
4,50,0,4,0,0,1,4
2,52,0,2,0,0,1,2
7,47,0,7,0,0,1,7
3,52,1,1,0,0.0185185,1,3
1,53,0,1,0,0,1,1
9,46,1,7,0,0.0185185,1,9
4,50,0,4,0,0,1,4
9,46,1,7,0,0.0185185,1,9
4,50,0,4,0,0,1,4
6,49,1,4,0,0.0185185,1,6
6,48,0,6,0,0,1,6
2,52,0,2,0,0,1,2
5,50,1,3,0,0.0185185,1,5
3,51,0,3,0,0,1,3
7,48,1,5,0,0.0185185,1,7
8,47,1,6,0,0.0185185,1,8
7,47,0,7,0,0,1,7
8,47,1,6,0,0.0185185,1,8
9,46,1,7,0,0.0185185,1,9
6,49,1,4,0,0.0185185,1,6
6,48,0,6,0,0,1,6
4,50,0,4,0,0,1,4
6,48,0,6,0,0,1,6
9,45,0,9,0,0,1,9
8,46,0,8,0,0,1,8
5,49,0,5,0,0,1,5
3,51,0,3,0,0,1,3
8,46,0,8,0,0,1,8
8,46,0,8,0,0,1,8
5,49,0,5,0,0,1,5
12,45,3,6,0,0.0555556,1,12
4,50,0,4,0,0,1,4
9,45,0,9,0,0,1,9
8,47,1,6,0,0.0185185,1,8
7,47,0,7,0,0,1,7
3,51,0,3,0,0,1,3
8,46,0,8,0,0,1,8
3,51,0,3,0,0,1,3
7,47,0,7,0,0,1,7
10,44,0,10,0,0,1,10
8,48,1,5,0,0.0185185,1,8
10,45,1,8,0,0.0185185,1,10
10,44,0,10,0,0,1,10
2,52,0,2,0,0,1,2
10,44,0,10,0,0,1,10
12,43,1,10,0,0.0185185,1,12
10,44,0,10,0,0,1,10
11,44,1,9,0,0.0185185,1,11
10,45,1,8,0,0.0185185,1,10
8,46,0,8,0,0,1,8
5,49,0,5,0,0,1,5
8,46,0,8,0,0,1,8
6,48,0,6,0,0,1,6
5,49,0,5,0,0,1,5
14,42,1,11,0,0.0185185,1,14
8,46,0,8,0,0,1,8
13,43,2,9,0,0.037037,1,13
12,44,2,8,0,0.037037,1,12
16,40,2,12,0,0.037037,1,16
12,42,0,12,0,0,1,12
7,47,0,7,0,0,1,7
7,47,0,7,0,0,1,7
12,44,2,8,0,0.037037,1,12
6,49,1,4,0,0.0185185,1,6
8,46,0,8,0,0,1,8
12,43,1,10,0,0.0185185,1,12
6,48,0,6,0,0,1,6
13,43,2,9,0,0.037037,1,13
12,42,0,12,0,0,1,12
12,43,1,10,0,0.0185185,1,12
5,49,0,5,0,0,1,5
6,48,0,6,0,0,1,6
10,46,2,6,0,0.037037,1,10
16,39,1,14,0,0.0185185,1,16
12,43,1,10,0,0.0185185,1,12
16,40,2,12,0,0.037037,1,16
11,43,0,11,0,0,1,11
11,43,0,11,0,0,1,11
10,44,0,10,0,0,1,10
