initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
1,53,0,1,0,0,1
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
0,54,0,0,0,0,0
1,53,0,1,0,0,1
0,54,0,0,0,0,0
0,54,0,0,0,0,0
1,53,0,1,0,0,1
0,54,0,0,0,0,0
1,53,0,1,0,0,1
0,54,0,0,0,0,0
2,52,0,2,0,0,1
1,53,0,1,0,0,1
0,54,0,0,0,0,0
1,53,0,1,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
1,53,0,1,0,0,1
1,53,0,1,0,0,1
0,54,0,0,0,0,0
0,54,0,0,0,0,0
1,53,0,1,0,0,1
3,51,0,3,0,0,1
1,53,0,1,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
1,53,0,1,0,0,1
1,53,0,1,0,0,1
3,51,0,3,0,0,1
2,52,0,2,0,0,1
2,52,0,2,0,0,1
0,54,0,0,0,0,0
2,52,0,2,0,0,1
2,53,1,0,0,0.0185185,1
2,52,0,2,0,0,1
3,51,0,3,0,0,1
0,54,0,0,0,0,0
0,54,0,0,0,0,0
1,53,0,1,0,0,1
1,53,0,1,0,0,1
1,53,0,1,0,0,1
2,52,0,2,0,0,1
3,51,0,3,0,0,1
2,52,0,2,0,0,1
1,53,0,1,0,0,1
1,53,0,1,0,0,1
5,50,1,3,0,0.0185185,1
1,53,0,1,0,0,1
3,51,0,3,0,0,1
1,53,0,1,0,0,1
4,50,0,4,0,0,1
0,54,0,0,0,0,0
3,51,0,3,0,0,1
3,51,0,3,0,0,1
3,51,0,3,0,0,1
3,51,0,3,0,0,1
4,50,0,4,0,0,1
3,51,0,3,0,0,1
2,52,0,2,0,0,1
4,50,0,4,0,0,1
4,51,1,2,0,0.0185185,1
7,47,0,7,0,0,1
4,50,0,4,0,0,1
3,51,0,3,0,0,1
2,52,0,2,0,0,1
1,53,0,1,0,0,1
4,50,0,4,0,0,1
2,52,0,2,0,0,1
4,50,0,4,0,0,1
8,47,1,6,0,0.0185185,1
1,53,0,1,0,0,1
2,52,0,2,0,0,1
6,48,0,6,0,0,1
1,53,0,1,0,0,1
4,50,0,4,0,0,1
5,49,0,5,0,0,1
2,52,0,2,0,0,1
3,51,0,3,0,0,1
4,50,0,4,0,0,1
2,52,0,2,0,0,1
7,48,1,5,0,0.0185185,1
5,49,0,5,0,0,1
4,50,0,4,0,0,1
4,50,0,4,0,0,1
4,50,0,4,0,0,1
2,52,0,2,0,0,1
7,47,0,7,0,0,1
3,52,1,1,0,0.0185185,1
1,53,0,1,0,0,1
9,46,1,7,0,0.0185185,1
4,50,0,4,0,0,1
9,46,1,7,0,0.0185185,1
4,50,0,4,0,0,1
6,49,1,4,0,0.0185185,1
6,48,0,6,0,0,1
2,52,0,2,0,0,1
5,50,1,3,0,0.0185185,1
3,51,0,3,0,0,1
7,48,1,5,0,0.0185185,1
8,47,1,6,0,0.0185185,1
7,47,0,7,0,0,1
8,47,1,6,0,0.0185185,1
9,46,1,7,0,0.0185185,1
6,49,1,4,0,0.0185185,1
6,48,0,6,0,0,1
4,50,0,4,0,0,1
6,48,0,6,0,0,1
9,45,0,9,0,0,1
8,46,0,8,0,0,1
5,49,0,5,0,0,1
3,51,0,3,0,0,1
8,46,0,8,0,0,1
8,46,0,8,0,0,1
5,49,0,5,0,0,1
12,45,3,6,0,0.0555556,1
4,50,0,4,0,0,1
9,45,0,9,0,0,1
8,47,1,6,0,0.0185185,1
7,47,0,7,0,0,1
3,51,0,3,0,0,1
8,46,0,8,0,0,1
3,51,0,3,0,0,1
7,47,0,7,0,0,1
10,44,0,10,0,0,1
8,48,1,5,0,0.0185185,1
10,45,1,8,0,0.0185185,1
10,44,0,10,0,0,1
2,52,0,2,0,0,1
10,44,0,10,0,0,1
12,43,1,10,0,0.0185185,1
10,44,0,10,0,0,1
11,44,1,9,0,0.0185185,1
10,45,1,8,0,0.0185185,1
8,46,0,8,0,0,1
5,49,0,5,0,0,1
8,46,0,8,0,0,1
6,48,0,6,0,0,1
5,49,0,5,0,0,1
14,42,1,11,0,0.0185185,1
8,46,0,8,0,0,1
13,43,2,9,0,0.037037,1
12,44,2,8,0,0.037037,1
16,40,2,12,0,0.037037,1
12,42,0,12,0,0,1
7,47,0,7,0,0,1
7,47,0,7,0,0,1
12,44,2,8,0,0.037037,1
6,49,1,4,0,0.0185185,1
8,46,0,8,0,0,1
12,43,1,10,0,0.0185185,1
6,48,0,6,0,0,1
13,43,2,9,0,0.037037,1
12,42,0,12,0,0,1
12,43,1,10,0,0.0185185,1
5,49,0,5,0,0,1
6,48,0,6,0,0,1
10,46,2,6,0,0.037037,1
16,39,1,14,0,0.0185185,1
12,43,1,10,0,0.0185185,1
16,40,2,12,0,0.037037,1
11,43,0,11,0,0,1
11,43,0,11,0,0,1
10,44,0,10,0,0,1
7,47,0,7,0,0,1
10,44,0,10,0,0,1
13,41,0,13,0,0,1
16,41,2,11,0,0.037037,1
8,46,0,8,0,0,1
8,46,0,8,0,0,1
12,43,1,10,0,0.0185185,1
6,49,1,4,0,0.0185185,1
19,38,3,13,0,0.0555556,1
10,45,1,8,0,0.0185185,1
12,44,2,8,0,0.037037,1
13,41,0,13,0,0,1
14,43,3,8,0,0.0555556,1
13,42,1,11,0,0.0185185,1
16,39,1,14,0,0.0185185,1
14,41,1,12,0,0.0185185,1
16,41,2,11,0,0.037037,1
13,41,0,13,0,0,1
14,41,1,12,0,0.0185185,1
17,41,3,10,0,0.0555556,1
10,45,1,8,0,0.0185185,1
12,43,1,10,0,0.0185185,1
11,44,1,9,0,0.0185185,1
12,43,1,10,0,0.0185185,1
13,41,0,13,0,0,1
12,42,0,12,0,0,1
10,44,0,10,0,0,1
7,47,0,7,0,0,1
14,41,1,12,0,0.0185185,1
9,46,1,7,0,0.0185185,1
15,42,2,10,0,0.037037,1
18,40,4,10,0,0.0740741,1
14,42,2,10,0,0.037037,1
12,44,1,9,0,0.0185185,1
16,41,3,10,0,0.0555556,1
