initateRA,firstRA,successRA,retranmission
270,270,275,0
432,240,437,2
968,392,973,1
271,271,276,0
389,389,394,0
1595,443,1600,4
1720,280,1725,5
970,394,975,0
517,517,522,0
743,551,748,0
256,160,261,1
842,458,847,0
1464,408,1469,2
431,431,436,0
1597,349,1602,8
1663,607,1668,2
707,323,712,1
1419,267,1424,6
55,55,60,0
640,352,645,2
1006,526,1011,0
1913,569,1918,6
629,533,634,0
768,384,773,1
278,278,283,0
683,203,688,3
1359,207,1364,5
282,282,287,0
1059,483,1064,1
396,300,401,1
1109,245,1114,3
1936,496,1941,7
673,289,678,1
695,599,700,0
136,136,141,0
1712,752,1717,7
619,427,624,0
741,261,746,2
1638,582,1643,3
1435,571,1440,1
554,554,559,0
1790,446,1795,6
148,148,153,0
280,280,285,0
274,274,279,0
1410,546,1415,4
255,159,260,1
732,540,737,0
346,346,351,0
1407,447,1412,1
545,353,550,0
1309,349,1314,2
439,439,444,0
566,566,571,0
1042,370,1047,2
808,808,813,0
97,97,102,0
690,402,695,1
639,255,644,1
1536,384,1541,5
332,332,337,0
649,553,654,0
1430,470,1435,2
1941,501,1946,9
103,103,108,0
1995,555,2000,7
1475,323,1480,3
332,332,337,0
148,148,153,0
747,555,752,0
1119,543,1124,2
1457,497,1462,6
1499,347,1504,3
533,341,538,1
941,365,946,1
1443,771,1448,3
350,254,355,1
577,481,582,0
719,527,724,1
1812,756,1817,6
1947,603,1952,5
1154,290,1159,3
1175,599,1180,1
1321,553,1326,2
113,113,118,0
1240,280,1245,2
1745,401,-1,10
224,224,229,0
704,608,709,1
399,399,404,0
1635,291,1640,5
1646,686,1651,2
611,323,616,1
1007,623,1012,1
1722,570,1727,4
838,550,843,1
879,495,884,1
1050,666,1055,0
1069,493,1074,0
401,305,406,0
411,315,416,0
1513,553,1518,4
1608,552,1613,2
723,243,728,4
1153,385,1158,3
1279,415,1284,2
428,236,433,2
1095,615,1100,2
1717,469,1722,5
1223,551,1228,3
785,593,790,2
1846,310,-1,10
581,581,586,0
1783,343,1788,6
1034,362,1039,2
1078,598,1083,2
573,477,578,1
121,121,126,0
1551,399,1556,5
408,408,413,0
180,180,185,0
215,215,220,0
1936,400,1941,5
1852,412,1857,7
1765,421,1770,6
128,128,133,0
630,438,635,1
1075,499,1080,0
322,226,327,1
1182,414,1187,2
1643,491,1648,4
1591,343,1596,5
1701,645,1706,6
600,408,605,0
277,277,282,0
1925,389,1930,8
1197,621,1202,1
1280,512,1285,3
844,460,849,1
1219,355,1224,5
294,198,299,1
1660,412,1665,3
1492,436,1497,4
1055,383,1060,2
277,277,282,0
282,282,287,0
643,259,648,2
1790,350,1795,6
1300,244,1305,4
641,641,646,0
751,463,756,2
1652,500,1657,5
258,162,263,1
657,561,662,0
996,228,1001,3
767,383,772,2
872,296,877,1
827,443,832,0
353,353,358,0
1498,250,1503,3
1521,369,1526,3
102,102,107,0
108,108,113,0
761,473,766,2
747,651,752,0
854,854,859,0
629,245,634,1
489,489,494,0
653,365,658,1
1591,631,1596,5
267,171,272,1
862,478,867,1
1877,533,1882,6
857,761,862,0
1379,515,1384,1
840,264,845,1
925,733,930,1
1303,439,1308,0
923,443,928,0
516,516,521,0
1852,700,1857,4
665,281,670,1
815,527,820,2
1602,354,1607,7
1180,892,1185,0
984,792,989,0
1037,557,1042,2
1608,456,1613,3
315,315,320,0
1152,384,1157,6
949,373,954,1
1541,197,1546,7
1636,292,1641,7
698,314,703,0
1273,505,1278,3
1172,500,1177,1
758,566,763,1
1594,250,1599,2
598,310,603,1
933,741,938,1
523,523,528,0
308,308,313,0
1781,245,1786,7
362,266,367,1
756,660,761,1
416,224,421,1
1512,552,1517,1
383,383,388,0
766,574,771,0
274,274,279,0
1942,694,1947,8
702,510,707,1
465,465,470,0
429,333,434,0
1492,340,1497,4
1760,320,1765,9
113,113,118,0
591,495,596,1
1290,714,1295,1
708,324,713,1
1323,555,1328,1
990,414,995,2
496,400,501,1
599,311,604,2
1242,378,1247,4
638,350,643,2
578,482,583,0
672,480,677,1
760,376,765,2
969,489,974,1
854,662,859,0
1251,483,1256,2
553,361,558,0
1246,382,1251,2
1511,455,1516,1
675,291,680,2
1754,410,1759,4
512,512,517,0
1103,623,1108,2
1128,744,1133,1
1614,366,1619,5
1262,398,1267,2
1870,718,1875,8
723,531,728,0
275,275,280,0
264,264,269,0
1545,489,1550,4
1130,266,1135,3
1588,244,1593,7
875,683,880,0
1560,408,1565,7
428,428,433,0
1519,271,1524,3
1488,336,1493,4
1692,828,1697,2
1326,462,1331,4
1300,436,1305,3
844,460,849,1
187,187,192,0
1294,238,1299,2
272,176,277,1
1550,590,1555,1
115,115,120,0
1423,655,1428,3
760,664,765,0
204,204,209,0
1101,237,1106,2
380,380,385,0
1113,537,1118,2
1061,197,1066,4
670,574,675,0
1002,522,1007,1
1594,346,1599,3
1805,557,1810,4
1705,361,1710,3
1402,538,1407,1
311,311,316,0
1649,497,1654,2
681,393,686,1
