initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
3,51,0,3,0,0,1,3
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
4,51,1,2,0,0.0185185,1,4
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
6,48,0,6,0,0,1,6
2,52,0,2,0,0,1,2
7,48,1,5,0,0.0185185,1,7
3,52,1,1,0,0.0185185,1,3
7,48,1,5,0,0.0185185,1,7
3,51,0,3,0,0,1,3
5,50,1,3,0,0.0185185,1,5
5,50,1,3,0,0.0185185,1,5
2,52,0,2,0,0,1,2
5,50,1,3,0,0.0185185,1,5
5,49,0,5,0,0,1,5
3,51,0,3,0,0,1,3
4,50,0,4,0,0,1,4
6,48,0,6,0,0,1,6
6,48,0,6,0,0,1,6
7,47,0,7,0,0,1,7
4,50,0,4,0,0,1,4
5,50,1,3,0,0.0185185,1,5
7,48,1,5,0,0.0185185,1,7
6,49,1,4,0,0.0185185,1,6
7,48,1,5,0,0.0185185,1,7
8,46,0,8,0,0,1,8
7,48,1,5,0,0.0185185,1,7
7,47,0,7,0,0,1,7
5,49,0,5,0,0,1,5
7,48,1,5,0,0.0185185,1,7
10,45,1,8,0,0.0185185,1,10
6,49,1,4,0,0.0185185,1,6
6,48,0,6,0,0,1,6
11,44,1,9,0,0.0185185,1,11
3,51,0,3,0,0,1,3
5,49,0,5,0,0,1,5
12,45,3,6,0,0.0555556,1,12
6,48,0,6,0,0,1,6
10,46,2,6,0,0.037037,1,10
11,44,1,9,0,0.0185185,1,11
11,43,0,11,0,0,1,11
15,40,1,13,0,0.0185185,1,15
10,45,1,8,0,0.0185185,1,10
12,42,0,12,0,0,1,12
12,43,1,10,0,0.0185185,1,12
12,44,2,8,0,0.037037,1,12
11,44,1,9,0,0.0185185,1,11
16,40,1,13,0,0.0185185,1,16
11,44,1,9,0,0.0185185,1,11
10,45,1,8,0,0.0185185,1,10
15,40,1,13,0,0.0185185,1,15
15,42,3,9,0,0.0555556,1,15
16,40,2,12,0,0.037037,1,16
17,39,2,13,0,0.037037,1,17
19,38,3,13,0,0.0555556,1,19
19,37,2,15,0,0.037037,1,19
16,41,3,10,0,0.0555556,1,16
17,42,5,7,0,0.0925926,1,17
17,38,1,15,0,0.0185185,1,17
15,40,1,13,0,0.0185185,1,15
22,36,3,15,0,0.0555556,1,22
15,39,0,15,0,0,1,15
12,42,0,12,0,0,1,12
17,40,3,11,0,0.0555556,1,17
24,34,4,16,0,0.0740741,1,24
21,34,1,19,0,0.0185185,1,21
20,36,2,16,0,0.037037,1,20
21,36,3,15,0,0.0555556,1,21
16,41,2,11,0,0.037037,1,16
22,36,4,14,0,0.0740741,1,22
23,36,4,14,0,0.0740741,1,23
18,40,4,10,0,0.0740741,1,18
19,36,1,17,0,0.0185185,1,19
16,38,0,16,0,0,1,16
19,39,3,12,0,0.0555556,1,19
21,38,3,13,0,0.0555556,1,21
25,33,4,17,0,0.0740741,1,25
28,31,3,20,0,0.0555556,1,28
23,35,3,16,0,0.0555556,1,23
24,32,2,20,0,0.037037,1,24
31,26,3,25,0,0.0555556,1,31
31,30,7,17,0,0.12963,1,31
25,38,5,11,0,0.0925926,1,25
24,36,6,12,0,0.111111,1,24
31,31,7,16,0,0.12963,1,31
29,33,7,14,0,0.12963,1,29
38,23,7,22,2,0.12963,1,38
19,37,2,15,0,0.037037,1,19
24,36,5,13,0,0.0925926,1,24
33,28,7,19,0,0.12963,1,33
29,31,5,18,0,0.0925926,1,29
26,35,7,12,0,0.12963,1,26
23,34,3,17,0,0.0555556,1,23
32,31,8,15,0,0.148148,1,32
28,29,3,22,0,0.0555556,1,28
34,33,10,11,0,0.185185,1,34
33,26,4,24,0,0.0740741,1,33
36,24,6,23,1,0.111111,1,36
40,25,9,20,0,0.166667,1,40
23,35,4,15,0,0.0740741,1,23
33,32,10,12,0,0.185185,1,33
