initateRA,firstRA,successRA,retranmission
366,270,371,0
240,240,245,0
2792,392,2797,6
463,271,468,1
1925,389,1930,2
1307,443,1312,2
2488,280,-1,10
2314,394,2319,6
805,517,810,0
1799,551,1804,0
352,160,357,1
1034,458,1039,1
408,408,413,0
2351,431,2356,5
2557,349,2562,8
3103,607,3108,8
2723,323,2728,4
267,267,272,0
55,55,60,0
1696,352,1701,0
1678,526,1683,3
2105,569,2110,3
2261,533,2266,2
768,384,773,0
1718,278,1723,5
2315,203,2320,4
975,207,980,1
1722,282,1727,4
867,483,872,1
1356,300,1361,0
1493,245,1498,1
592,496,597,1
865,289,870,2
1175,599,1180,2
136,136,141,0
2672,752,2677,1
2347,427,2352,2
2373,261,2378,3
2502,582,2507,5
2491,571,2496,4
746,554,751,0
2366,446,2371,4
436,148,441,2
3064,280,-1,10
274,274,279,0
1602,546,1607,2
255,159,260,1
2460,540,2465,3
2074,346,2079,4
1695,447,1700,1
1697,353,1702,0
1405,349,1410,3
2935,439,-1,10
1814,566,1819,1
466,370,471,0
1192,808,1197,0
97,97,102,0
1554,402,1559,0
1983,255,1988,3
1536,384,1541,1
3020,332,3025,9
1801,553,1806,1
1622,470,1627,3
2229,501,2234,1
295,103,300,2
747,555,752,0
323,323,328,0
1772,332,1777,1
2260,148,2265,5
843,555,848,0
1887,543,1892,2
689,497,694,1
2459,347,2464,6
2165,341,2170,2
653,365,658,0
771,771,776,0
2942,254,2947,6
865,481,870,1
2351,527,2356,3
1236,756,1241,1
3099,603,-1,10
2114,290,2119,1
791,599,796,0
2953,553,2958,7
113,113,118,0
2584,280,2589,7
1841,401,1846,0
1952,224,1957,5
704,608,709,0
1743,399,1748,1
675,291,680,0
1934,686,1939,2
2435,323,2440,1
1487,623,1492,0
1242,570,1247,0
1702,550,1707,2
1647,495,1652,0
2202,666,2207,1
1357,493,1362,1
2897,305,2902,7
1275,315,1280,0
937,553,942,1
2568,552,2573,6
1203,243,1208,3
385,385,390,0
3199,415,3204,9
332,236,337,1
2535,615,2540,3
661,469,666,0
1607,551,1612,0
977,593,982,0
2422,310,2427,4
2981,581,2986,5
1495,343,1500,2
458,362,463,0
1366,598,1371,2
1725,477,1730,3
121,121,126,0
2511,399,2516,2
792,408,797,0
660,180,665,1
215,215,220,0
1168,400,1173,2
412,412,417,0
805,421,810,0
128,128,133,0
1110,438,1115,0
2515,499,2520,3
226,226,231,0
1470,414,1475,0
779,491,784,0
2647,343,-1,10
1797,645,1802,1
3192,408,3197,9
1141,277,1146,0
1925,389,1930,1
2445,621,-1,10
3104,512,3109,9
2956,460,-1,10
2755,355,2760,6
2214,198,2219,1
700,412,705,0
2356,436,2361,1
1343,383,1348,1
277,277,282,0
2874,282,2879,5
547,259,552,1
1886,350,1891,1
2164,244,2169,4
2561,641,2566,1
1807,463,1812,0
1556,500,1561,2
1026,162,1031,3
945,561,950,2
1860,228,1865,4
2879,383,2884,7
296,296,301,0
539,443,544,0
449,353,454,1
346,250,351,0
2385,369,2390,2
102,102,107,0
108,108,113,0
2393,473,2398,5
1035,651,1040,0
950,854,955,0
245,245,250,0
2025,489,2030,0
365,365,370,0
1015,631,1020,1
555,171,560,3
2494,478,2499,2
1397,533,1402,2
2777,761,2782,8
707,515,712,0
3048,264,-1,10
1501,733,1506,2
2071,439,2076,1
2939,443,2944,5
1668,516,1673,1
2812,700,2817,4
2489,281,-1,10
1391,527,1396,0
1026,354,1031,2
2236,892,2241,3
1080,792,1085,0
1517,557,1522,1
1992,456,1997,1
1467,315,1472,0
2784,384,2789,3
1909,373,1914,1
197,197,202,0
292,292,297,0
2618,314,2623,5
505,505,510,0
2324,500,2329,4
2006,566,2011,1
730,250,735,2
1174,310,1179,1
741,741,746,0
1579,523,1584,0
404,308,409,0
1205,245,1210,1
1226,266,1231,2
1620,660,1625,1
992,224,997,0
648,552,653,0
1151,383,1156,1
766,574,771,1
1810,274,1815,1
2902,694,2907,7
798,510,803,0
2001,465,2006,4
333,333,338,0
2164,340,2169,1
2720,320,2725,4
209,113,214,1
1359,495,1364,1
2538,714,2543,2
1092,324,1097,0
1899,555,1904,3
606,414,611,0
1840,400,1845,3
2423,311,2428,5
1530,378,1535,0
350,350,355,0
674,482,679,0
1632,480,1637,3
2008,376,2013,4
777,489,782,1
1718,662,1723,0
1059,483,1064,0
745,361,750,0
1726,382,1731,2
1127,455,1132,1
579,291,584,0
1466,410,1471,0
3200,512,3205,9
719,623,724,1
3144,744,-1,10
2382,366,2387,6
494,398,499,1
1390,718,1395,0
1299,531,1304,0
1235,275,1240,3
2760,264,-1,10
2793,489,2798,4
362,266,367,1
1588,244,1593,5
875,683,880,0
696,408,701,0
1100,428,1105,2
559,271,564,1
432,336,437,1
1692,828,1697,1
654,462,659,0
436,436,441,0
1708,460,1713,1
1531,187,1536,2
2638,238,2643,6
176,176,181,0
1262,590,1267,0
115,115,120,0
1231,655,1236,1
1048,664,1053,2
204,204,209,0
525,237,530,1
2684,380,2689,3
2937,537,-1,10
2885,197,-1,10
1342,574,1347,0
1002,522,1007,1
2650,346,2655,4
1133,557,1138,1
3049,361,-1,10
2842,538,2847,5
2615,311,2620,2
1169,497,1174,1
969,393,974,0
1378,610,1383,0
2173,349,2178,6
282,282,287,0
992,320,997,1
1161,489,1166,1
469,469,474,0
3024,336,3029,8
1078,214,1083,1
2415,687,2420,1
807,231,812,1
1618,466,1623,3
1912,376,1917,0
2698,394,2703,6
2028,396,2033,1
1995,651,2000,3
1962,330,1967,2
1003,139,1008,1
2227,499,2232,2
2295,375,2300,3
1747,691,1752,1
1353,681,1358,1
606,318,611,1
2993,497,2998,6
1765,805,1770,1
927,447,932,0
1969,241,1974,2
2771,659,2776,3
2446,238,2451,6
1781,245,1786,7
1949,509,1954,2
3192,312,-1,10
2014,286,2019,3
94,94,99,0
391,391,396,0
2335,319,2340,5
1573,421,1578,1
775,487,780,1
2911,319,-1,10
1643,491,1648,1
1338,474,1343,1
2296,280,2301,1
901,517,906,0
516,324,521,1
2982,198,2987,5
851,275,856,4
2500,484,2505,5
2538,618,2543,1
370,178,375,1
562,370,567,1
2739,723,-1,10
1086,510,1091,1
2372,164,2377,6
1653,405,1658,3
1637,293,1642,2
2100,372,2105,3
1122,450,1127,2
1371,411,1376,1
277,277,282,0
2700,684,2705,3
1026,354,1031,1
91,91,96,0
1961,521,1966,3
2318,398,2323,2
2536,232,2541,4
1318,454,1323,1
923,251,928,1
309,213,314,1
1015,343,1020,1
2874,858,-1,10
1029,165,1034,2
275,275,280,0
2384,656,2389,4
2222,398,2227,3
1201,433,1206,0
1732,676,1737,1
1851,603,1856,2
2353,529,2358,2
204,204,209,0
879,399,884,1
2230,310,2235,3
2531,323,2536,4
3367,775,3372,9
2467,451,2472,2
1621,661,1626,3
1684,340,1689,2
1315,163,1320,2
1015,247,1020,1
493,301,498,0
1934,398,1939,1
1278,606,1283,0
2838,246,2843,7
585,297,590,1
2308,580,2313,3
430,142,435,2
1580,332,1585,3
1447,775,1452,1
448,352,453,0
274,274,279,0
1743,783,1748,1
763,283,768,0
2281,553,2286,4
1911,183,1916,1
1809,561,1814,2
439,151,444,1
2108,476,2113,3
1440,672,1445,3
1806,654,1811,0
378,378,383,0
1207,535,1212,1
1917,573,1922,1
296,296,301,0
1208,440,1213,0
420,228,425,1
2061,621,2066,0
2033,785,2038,4
869,677,874,0
2340,324,2345,2
2494,478,2499,2
1605,453,1610,0
612,420,617,1
1857,417,1862,2
2193,273,2198,1
488,296,493,1
1238,278,1243,0
2845,445,-1,10
980,596,985,1
593,593,598,0
2654,254,2659,8
2906,314,2911,8
690,210,695,3
392,392,397,0
2072,536,2077,3
3086,398,3091,8
2237,701,2242,3
872,584,877,1
2810,602,2815,6
3131,539,-1,10
2418,882,2423,2
1607,839,1612,1
899,611,904,0
1888,448,1893,2
2781,765,-1,10
1889,449,1894,2
232,232,237,0
1484,332,1489,2
2095,463,2100,1
225,225,230,0
1610,554,1615,2
2345,521,2350,3
1994,266,1999,2
3524,836,3529,9
2266,346,2271,3
1642,490,1647,3
886,406,891,0
3055,175,3060,6
2039,599,2044,3
1015,631,1020,1
2741,437,2746,4
1263,495,1268,1
3218,626,3223,9
979,307,984,0
540,348,545,0
2265,345,2270,5
732,444,737,0
1029,261,1034,2
2296,472,2301,3
1238,470,1243,1
2397,477,2402,4
1589,629,1594,1
832,640,837,0
1744,304,1749,2
2399,287,2404,2
2181,165,2186,4
748,364,753,0
988,412,993,1
212,116,217,1
1372,316,1377,2
301,205,306,0
1096,424,1101,0
1911,279,1916,1
356,356,361,0
2530,418,2535,3
1058,482,1063,0
1394,434,1399,1
1811,755,1816,3
2026,490,2031,1
2607,591,2612,3
2102,566,2107,3
1863,615,1868,1
400,208,405,1
333,333,338,0
1913,569,1918,1
981,309,986,0
3010,322,3015,6
1940,596,1945,2
1612,460,1617,1
2378,458,2383,2
512,416,517,0
2688,288,2693,7
1078,406,1083,1
2887,199,-1,10
2055,423,2060,3
111,111,116,0
2290,658,2295,2
2589,477,2594,5
423,231,428,1
1346,674,1351,0
1145,569,1150,1
1388,428,1393,2
3074,290,3079,7
1689,633,1694,0
976,304,981,0
2058,522,2063,2
666,474,671,0
1626,378,1631,0
2783,383,-1,10
2958,462,2963,9
2316,492,2321,0
1172,692,1177,0
1000,712,1005,0
1664,224,1669,1
2750,638,2755,4
204,204,209,0
353,353,358,0
412,316,417,0
481,289,486,1
1934,302,1939,3
1968,624,1973,2
2100,564,2105,1
1905,369,1910,1
2844,444,2849,7
2408,200,2413,2
1222,454,1227,0
1530,570,1535,1
2650,634,2655,4
1168,304,1173,0
2424,216,2429,4
2296,568,2301,3
423,423,428,0
495,495,500,0
2632,424,2637,8
1302,534,1307,0
2122,298,2127,1
30,30,35,0
1145,473,1150,1
523,139,528,2
1059,195,1064,1
651,171,656,2
582,486,587,0
1196,332,1201,2
336,240,341,0
829,349,834,2
1149,669,1154,2
443,443,448,0
549,165,554,1
992,512,997,0
1107,339,1112,1
1791,351,1796,3
1794,354,1799,1
545,449,550,0
1833,393,1838,1
1486,430,1491,1
345,249,350,0
1887,639,1892,1
478,382,483,0
796,412,801,1
799,511,804,0
823,727,828,0
684,108,689,3
1909,277,1914,1
1878,534,1883,1
2744,440,2749,0
2121,585,2126,2
1893,261,1898,5
1472,896,1477,0
2826,522,2831,8
1111,439,1116,2
1100,524,1105,0
3144,264,3149,8
915,243,920,0
2900,308,2905,7
1626,378,1631,0
2930,434,-1,10
358,262,363,0
822,630,827,0
2997,309,-1,10
123,123,128,0
1271,407,1276,1
2223,399,2228,3
743,551,748,1
578,194,583,2
1003,139,1008,3
2033,593,2038,0
1277,413,1282,3
1385,425,1390,1
1453,589,1458,1
1861,613,1866,1
2728,328,2733,5
770,482,775,1
1586,530,1591,2
2810,314,2815,8
1643,587,1648,2
2396,572,2401,1
97,97,102,0
1422,750,1427,0
1223,263,1228,1
1395,531,1400,2
3065,569,3070,9
1366,406,1371,3
2404,676,2409,2
70,70,75,0
145,145,150,0
2834,530,-1,10
837,453,842,0
344,344,349,0
1443,579,1448,1
483,291,488,0
468,468,473,0
2020,484,2025,1
602,218,607,1
1893,549,1898,1
571,379,576,1
619,523,624,0
2024,584,2029,2
2593,481,2598,3
709,325,714,0
939,555,944,1
2573,461,2578,5
1777,145,1782,4
1404,636,1409,1
808,232,813,1
2708,404,2713,2
377,377,382,0
2235,315,2240,1
1580,524,1585,1
2334,318,2339,4
2868,468,2873,6
258,258,263,0
410,314,415,1
1942,598,1947,3
2599,679,2604,3
366,366,371,0
2975,479,-1,10
2941,541,-1,10
2560,256,2565,6
2167,343,2172,3
1220,260,1225,3
1649,497,1654,0
2800,592,2805,6
2611,403,2616,3
300,300,305,0
2336,512,2341,6
521,329,526,1
2414,302,2419,3
1587,531,1592,4
1475,419,1480,4
713,233,718,1
2200,376,2205,4
1608,648,1613,1
1589,437,1594,2
312,312,317,0
790,502,795,0
3155,755,3160,6
3001,313,-1,10
1733,389,1738,2
690,594,695,1
2325,309,2330,5
2500,292,2505,8
911,335,916,1
1392,432,1397,1
2759,647,2764,4
2948,452,-1,10
3071,671,3076,5
591,303,596,0
3244,652,3249,6
648,648,653,0
714,714,719,0
840,264,845,1
2904,696,2909,6
1246,382,1251,1
2362,634,2367,1
2590,286,2595,6
3177,201,3182,9
2728,616,2733,7
3110,326,3115,5
2983,199,-1,10
3024,720,3029,8
1873,721,1878,2
2756,260,-1,10
2500,484,2505,6
971,491,976,0
2704,496,2709,7
1947,603,1952,2
971,203,976,3
775,199,780,1
2384,368,2389,2
1547,683,1552,1
915,723,920,0
1134,174,1139,4
466,370,471,0
2706,594,2711,6
1562,410,1567,5
1220,740,1225,1
1144,664,1149,2
104,104,109,0
175,175,180,0
1552,400,1557,0
786,594,791,0
2044,316,2049,4
2625,417,2630,5
1778,530,1783,2
668,668,673,0
2594,290,2599,2
2230,502,2235,2
508,220,513,2
1917,765,1922,2
2011,667,2016,1
879,495,884,1
1952,416,1957,2
214,214,219,0
2684,188,2689,8
2187,267,2192,6
1990,454,1995,3
1707,459,1712,2
2557,829,2562,4
1389,429,1394,0
1469,605,1474,0
2846,254,-1,10
1408,736,1413,2
2897,497,2902,2
2123,395,2128,1
996,708,1001,0
1515,555,1520,0
278,278,283,0
488,296,493,1
1891,643,1896,2
1600,352,1605,0
3148,556,3153,7
748,556,753,2
806,422,811,1
3131,443,3136,8
3020,428,3025,9
1237,757,1242,0
2952,168,-1,10
2236,316,2241,2
2416,688,2421,4
2098,178,2103,6
179,179,184,0
3206,326,3211,7
918,438,923,0
630,534,635,0
3302,230,3307,8
529,529,534,0
1429,565,1434,2
779,779,784,0
3074,482,3079,8
214,214,219,0
2142,222,2147,2
1978,538,1983,1
1313,257,1318,2
1789,253,1794,4
2050,322,2055,2
824,440,829,1
1777,529,1782,2
2943,639,2948,5
1849,601,1854,2
2869,565,2874,1
2732,524,2737,7
2656,448,2661,4
1943,503,1948,2
1005,813,1010,0
2860,460,2865,4
174,174,179,0
486,390,491,0
375,375,380,0
692,116,697,4
1440,672,1445,0
847,463,852,0
793,409,798,3
1949,605,1954,2
1712,560,1717,0
2719,319,2724,5
702,318,707,0
2049,321,2054,2
1745,401,1750,2
464,368,469,0
1716,756,1721,2
1891,547,1896,1
1323,459,1328,1
366,174,371,2
2027,491,2032,1
490,202,495,1
2271,543,2276,2
1848,504,1853,2
303,303,308,0
2099,275,2104,5
2990,686,2995,4
887,311,892,5
787,595,792,0
2271,543,2276,2
1049,569,1054,0
2941,445,2946,6
1479,231,1484,4
2834,338,-1,10
1834,298,1839,0
538,346,543,1
104,104,109,0
1410,162,1415,2
1772,428,1777,2
1737,489,1742,4
1736,488,1741,2
545,449,550,0
3031,439,3036,8
1790,350,1795,2
2150,230,2155,5
404,116,409,1
1648,304,1653,4
429,429,434,0
860,380,865,1
2845,445,-1,10
3064,568,3069,9
2764,364,-1,10
1103,527,1108,0
1637,581,1642,1
526,334,531,2
1281,705,1286,2
1387,331,1392,1
2102,470,2107,2
1571,515,1576,2
887,407,892,1
1611,747,1616,2
1667,419,1672,2
1493,533,1498,0
744,456,749,1
2630,806,2635,3
908,524,913,0
426,426,431,0
1247,287,1252,1
1045,181,1050,3
1237,469,1242,0
1135,175,1140,2
977,401,982,0
972,492,977,0
292,292,297,0
1089,705,1094,1
1803,171,1808,2
3103,415,3108,8
1555,691,1560,1
2095,463,2100,1
94,94,99,0
1076,788,1081,0
333,333,338,0
231,231,236,0
78,78,83,0
1205,341,1210,1
305,305,310,0
625,241,630,1
618,522,623,0
354,258,359,0
1760,512,1765,2
2821,805,2826,5
942,270,947,0
173,173,178,0
1940,500,1945,2
3066,474,3071,7
1954,322,1959,3
1230,174,1235,3
2046,318,2051,1
511,319,516,0
1282,898,1287,0
229,229,234,0
2206,286,2211,4
259,163,264,1
2732,620,2737,4
1125,357,1130,1
2832,432,-1,10
605,317,610,0
2721,513,2726,9
1085,605,1090,2
1604,548,1609,1
574,382,579,0
1198,238,1203,1
299,203,304,0
2417,785,2422,4
1867,235,1872,2
2315,587,2320,0
1818,282,1823,5
1187,515,1192,0
1108,820,1113,1
919,727,924,0
1656,216,1661,2
1266,690,1271,2
3003,507,-1,10
2653,253,-1,10
311,311,316,0
2743,151,2748,9
1614,270,1619,3
2157,525,2162,2
1019,539,1024,0
1310,350,1315,0
761,185,766,2
1836,396,1841,2
131,131,136,0
2445,525,2450,4
419,419,424,0
44,44,49,0
500,404,505,0
2249,521,2254,0
1323,747,1328,0
1405,349,1410,2
915,723,920,0
2193,369,2198,2
1854,318,1859,3
1817,473,1822,3
554,74,559,3
882,210,887,3
317,317,322,0
2928,432,2933,8
2073,345,2078,3
2183,359,2188,4
203,203,208,0
1060,196,1065,1
2747,251,2752,4
397,397,402,0
1344,480,1349,0
2492,860,2497,4
77,77,82,0
1173,501,1178,0
3175,583,-1,10
2742,246,-1,10
554,170,559,2
876,588,881,1
1041,369,1046,1
991,319,996,2
3145,649,-1,10
775,679,780,0
2811,699,-1,10
3122,434,3127,8
356,356,361,0
1202,530,1207,1
349,349,354,0
1671,231,1676,0
1245,669,1250,0
2434,706,2439,3
1833,297,1838,1
2512,400,2517,2
713,521,718,0
1033,745,1038,1
1442,194,1447,1
1183,607,1188,0
1218,738,1223,0
2893,589,2898,3
330,330,335,0
1290,714,1295,1
628,244,633,1
143,143,148,0
1893,549,1898,5
2083,259,2088,3
2766,750,2771,7
2597,485,2602,5
1234,274,1239,1
597,405,602,0
2818,802,2823,5
