initateRA,firstRA,successRA,retranmission
366,270,371,0
336,240,341,1
872,392,877,1
367,271,372,1
485,389,490,0
923,443,928,0
280,280,285,0
1642,394,1647,4
1669,517,1674,2
1703,551,1708,1
928,160,933,4
1514,458,1519,4
1656,408,1661,5
431,431,436,0
1693,349,1698,6
607,607,612,0
419,323,424,1
555,267,560,2
55,55,60,0
352,352,357,0
910,526,915,0
1241,569,1246,0
1781,533,1786,5
1824,384,1829,8
374,278,379,1
779,203,784,3
1551,207,1556,4
282,282,287,0
1731,483,1736,6
972,300,977,2
1493,245,1498,2
1168,496,1173,0
1345,289,1350,3
1079,599,1084,0
136,136,141,0
1520,752,1525,3
1099,427,1104,2
261,261,266,0
966,582,971,1
571,571,576,0
1226,554,1231,4
734,446,739,2
148,148,153,0
1624,280,1629,7
274,274,279,0
1122,546,1127,1
351,159,356,2
1308,540,1313,2
730,346,735,2
1119,447,1124,3
353,353,358,0
349,349,354,0
727,439,732,0
950,566,955,2
370,370,375,0
1000,808,1005,1
97,97,102,0
882,402,887,2
1023,255,1028,3
384,384,389,0
620,332,625,2
649,553,654,0
1142,470,1147,2
1557,501,1562,1
103,103,108,0
747,555,752,2
1283,323,1288,3
428,332,433,1
148,148,153,0
1995,555,2000,5
543,543,548,0
1745,497,1750,3
1115,347,1120,1
341,341,346,0
941,365,946,0
1155,771,1160,2
734,254,739,1
1729,481,1734,9
1295,527,1300,2
1140,756,1145,0
603,603,608,0
578,290,583,2
1271,599,1276,1
649,553,654,0
113,113,118,0
280,280,285,0
401,401,406,0
224,224,229,0
1664,608,1669,5
399,399,404,0
387,291,392,1
878,686,883,0
1283,323,1288,4
1679,623,1684,5
666,570,671,0
1606,550,1611,2
1455,495,1460,3
1146,666,1151,2
1453,493,1458,3
1841,305,1846,5
891,315,896,4
553,553,558,0
936,552,941,2
1107,243,1112,3
385,385,390,0
1471,415,1476,4
716,236,721,3
903,615,908,0
1813,469,1818,6
1415,551,1420,2
785,593,790,1
406,310,411,0
1061,581,1066,1
1399,343,1404,2
746,362,751,3
1750,598,1755,4
573,477,578,1
121,121,126,0
495,399,500,0
1080,408,1085,3
180,180,185,0
215,215,220,0
1456,400,1461,4
1564,412,1569,5
1861,421,1866,4
128,128,133,0
1110,438,1115,1
691,499,696,0
418,226,423,1
1566,414,1571,4
1451,491,1456,4
343,343,348,0
1701,645,1706,5
1176,408,1181,3
373,277,378,0
1253,389,1258,2
909,621,914,0
1376,512,1381,5
1132,460,1137,2
1411,355,1416,3
294,198,299,1
604,412,609,1
628,436,633,0
1247,383,1252,1
277,277,282,0
282,282,287,0
1219,259,1224,3
350,350,355,0
244,244,249,0
1793,641,1798,7
847,463,852,0
500,500,505,0
450,162,455,2
1233,561,1238,3
1572,228,1577,8
2207,383,2212,9
1256,296,1261,5
1019,443,1024,1
1025,353,1030,1
922,250,927,1
1137,369,1142,2
102,102,107,0
108,108,113,0
1049,473,1054,1
843,651,848,1
1622,854,1627,3
245,245,250,0
969,489,974,1
1997,365,2002,8
1975,631,1980,8
267,171,272,1
1054,478,1059,0
1781,533,1786,6
1241,761,1246,1
707,515,712,0
1800,264,-1,10
1501,733,1506,4
727,439,732,0
1691,443,1696,3
1092,516,1097,0
988,700,993,1
281,281,286,0
1391,527,1396,4
546,354,551,0
1756,892,1761,3
1080,792,1085,1
1901,557,1906,6
1704,456,1709,5
1179,315,1184,1
1728,384,1733,4
1909,373,1914,6
293,197,298,1
292,292,297,0
794,314,799,1
1465,505,1470,3
788,500,793,0
1622,566,1627,4
442,250,447,2
1270,310,1275,2
1893,741,1898,7
1099,523,1104,3
1364,308,1369,2
1685,245,-1,10
266,266,271,0
948,660,953,1
512,224,517,3
1896,552,1901,7
1439,383,1444,2
1534,574,1539,3
1042,274,1047,2
1846,694,1851,4
1182,510,1187,3
1425,465,1430,5
429,333,434,1
820,340,825,3
416,320,421,0
113,113,118,0
879,495,884,2
1866,714,1871,4
1476,324,1481,2
747,555,752,0
702,414,707,1
1648,400,1653,7
1079,311,1084,3
378,378,383,0
1118,350,1123,1
1250,482,1255,2
672,480,677,1
1240,376,1245,3
873,489,878,0
