initateRA,firstRA,successRA,retranmission
2190,270,2195,1
2064,240,2069,3
872,392,877,0
2191,271,2196,3
389,389,394,0
1403,443,1408,3
1240,280,1245,0
3178,394,3183,9
517,517,522,0
2471,551,2476,8
1024,160,1029,1
1226,458,1231,2
2616,408,2621,5
2735,431,2740,4
1981,349,1986,0
3103,607,3108,9
2435,323,2440,5
267,267,272,0
55,55,60,0
2368,352,2373,5
2446,526,2451,5
1721,569,1726,2
2165,533,2170,4
1728,384,1733,4
1238,278,1243,1
299,203,304,1
1071,207,1076,1
1626,282,1631,2
2307,483,2312,4
2796,300,2801,6
245,245,250,0
1264,496,1269,0
1825,289,1830,4
1463,599,1468,1
136,136,141,0
2768,752,2773,4
2347,427,2352,3
837,261,842,0
1062,582,1067,3
2203,571,2208,1
2858,554,2863,7
830,446,835,1
916,148,921,5
1432,280,1437,2
274,274,279,0
1410,546,1415,0
1695,159,1700,4
732,540,737,0
1210,346,1215,1
2079,447,2084,1
353,353,358,0
445,349,450,0
1015,439,1020,0
2582,566,2587,2
1138,370,1143,1
2056,808,2061,3
97,97,102,0
2610,402,2615,6
1215,255,1220,3
1920,384,1925,1
2540,332,2545,4
1897,553,1902,2
566,470,571,0
597,501,602,0
1831,103,1836,4
2187,555,2192,2
707,323,712,0
2732,332,2737,3
916,148,921,3
2955,555,2960,9
831,543,836,0
1553,497,1558,2
1403,347,1408,1
437,341,442,0
2765,365,2770,7
2595,771,2600,9
1502,254,1507,2
2209,481,2214,3
1103,527,1108,0
3060,756,3065,4
1563,603,1568,3
290,290,295,0
2231,599,2236,4
1705,553,1710,1
113,113,118,0
1720,280,1725,4
689,401,694,0
800,224,805,0
2048,608,2053,2
2319,399,2324,3
2115,291,2120,4
1646,686,1651,1
2531,323,2536,8
1679,623,1684,1
1530,570,1535,2
1894,550,1899,2
975,495,980,0
762,666,767,1
877,493,882,0
1265,305,1270,3
987,315,992,2
745,553,750,0
1992,552,1997,2
3315,243,3320,9
1057,385,1062,0
1663,415,1668,1
332,236,337,1
711,615,716,0
1429,469,1434,2
1031,551,1036,0
785,593,790,0
406,310,411,0
2213,581,2218,1
1687,343,1692,1
458,362,463,0
598,598,603,0
2205,477,2210,1
121,121,126,0
1935,399,1940,1
600,408,605,0
180,180,185,0
599,215,604,0
880,400,885,2
1660,412,1665,1
1093,421,1098,1
128,128,133,0
1014,438,1019,0
1171,499,1176,2
802,226,807,2
894,414,899,2
1547,491,1552,2
1879,343,1884,0
2277,645,2282,4
2136,408,2141,0
277,277,282,0
2597,389,2602,3
1005,621,1010,3
800,512,805,0
2476,460,2481,5
355,355,360,0
198,198,203,0
412,412,417,0
1204,436,1209,2
2399,383,2404,3
277,277,282,0
2682,282,2687,8
2851,259,2856,7
638,350,643,0
244,244,249,0
929,641,934,1
1423,463,1428,1
1268,500,1273,0
1506,162,1511,3
2769,561,2774,8
228,228,233,0
1535,383,1540,1
2312,296,2317,5
443,443,448,0
1601,353,1606,0
346,250,351,0
1233,369,1238,1
102,102,107,0
108,108,113,0
1241,473,1246,3
2187,651,2192,3
2966,854,2971,7
2453,245,2458,4
2025,489,2030,1
365,365,370,0
1591,631,1596,1
267,171,272,0
2110,478,2115,5
2165,533,2170,3
1241,761,1246,0
1955,515,1960,0
264,264,269,0
1789,733,1794,2
439,439,444,0
539,443,544,1
1764,516,1769,2
1180,700,1185,0
281,281,286,0
1583,527,1588,1
546,354,551,0
2524,892,2529,6
2520,792,2525,3
845,557,850,0
456,456,461,0
2331,315,2336,3
480,384,485,0
1429,373,1434,1
2789,197,2794,5
1348,292,1353,1
2810,314,2815,6
1081,505,1086,1
1940,500,1945,3
758,566,763,0
250,250,255,0
2614,310,2619,5
1413,741,1418,0
1003,523,1008,0
308,308,313,0
1205,245,1210,3
1802,266,1807,2
660,660,665,0
1664,224,1669,2
1992,552,1997,0
2015,383,2020,2
574,574,579,0
2578,274,2583,3
1462,694,1467,3
1374,510,1379,0
1041,465,1046,0
333,333,338,0
340,340,345,0
1376,320,1381,1
1937,113,1942,3
1647,495,1652,1
1962,714,1967,2
996,324,1001,1
2955,555,2960,9
606,414,611,1
688,400,693,1
1079,311,1084,1
1050,378,1055,2
2558,350,2563,5
770,482,775,1
2208,480,2213,5
2104,376,2109,5
1161,489,1166,0
1142,662,1147,0
2403,483,2408,2
457,361,462,0
2686,382,2691,8
935,455,940,0
1539,291,1544,1
506,410,511,0
992,512,997,1
1583,623,1588,1
936,744,941,0
2190,366,2195,2
2798,398,-1,10
1582,718,1587,0
2931,531,2936,4
2483,275,2488,3
1128,264,1133,3
2025,489,2030,4
1994,266,1999,1
1300,244,1305,3
1547,683,1552,0
2136,408,2141,0
1004,428,1009,0
1807,271,1812,3
2544,336,2549,3
2460,828,2465,4
1134,462,1139,0
2548,436,2553,6
460,460,465,0
2203,187,2208,3
622,238,627,1
2288,176,2293,5
2318,590,2323,4
115,115,120,0
2671,655,2676,3
2776,664,2781,4
2508,204,2513,5
2253,237,2258,2
956,380,961,1
825,537,830,0
2885,197,2890,7
2686,574,2691,5
2730,522,2735,7
2458,346,2463,6
749,557,754,0
1417,361,1422,2
1594,538,1599,4
1079,311,1084,1
1841,497,1846,2
585,393,590,0
706,610,711,0
2173,349,2178,0
2490,282,2495,7
320,320,325,0
777,489,782,1
949,469,954,1
1968,336,1973,2
2134,214,2139,4
1743,687,1748,1
2247,231,2252,3
1138,466,1143,0
1528,376,1533,3
1450,394,1455,1
2892,396,2897,6
1419,651,1424,1
2538,330,2543,2
2539,139,-1,10
691,499,696,0
2871,375,2876,5
2323,691,2328,3
1545,681,1550,1
2238,318,2243,3
1649,497,1654,1
805,805,810,0
735,447,740,0
241,241,246,0
1139,659,1144,0
526,238,531,1
2069,245,2074,9
1469,509,1474,1
600,312,605,0
2398,286,2403,4
94,94,99,0
679,391,684,1
2527,319,2532,4
2629,421,2634,4
2983,487,2988,6
3103,319,3108,8
1835,491,1840,2
570,474,575,0
2488,280,2493,4
901,517,906,0
1188,324,1193,1
198,198,203,0
2675,275,2680,6
2884,484,2889,7
1290,618,1295,1
1138,178,1143,2
466,370,471,0
2451,723,2456,5
990,510,995,1
356,164,361,1
2229,405,2234,2
1637,293,1642,0
372,372,377,0
1410,450,1415,1
1083,411,1088,0
853,277,858,0
2028,684,2033,3
354,354,359,0
91,91,96,0
1769,521,1774,0
494,398,499,0
1288,232,1293,1
934,454,939,1
2843,251,-1,10
1461,213,1466,0
1207,343,1212,1
1818,858,1823,2
1509,165,1514,4
2483,275,2488,2
656,656,661,0
2126,398,2131,5
529,433,534,0
1540,676,1545,0
2523,603,2528,3
2353,529,2358,4
396,204,401,1
2511,399,2516,3
1462,310,1467,2
419,323,424,0
1639,775,1644,1
2947,451,2952,6
661,661,666,0
436,340,441,0
547,163,552,2
631,247,636,0
685,301,690,0
2798,398,2803,5
606,606,611,0
2934,246,2939,7
1257,297,1262,0
1348,580,1353,1
718,142,723,1
1196,332,1201,1
2407,775,2412,2
2464,352,2469,3
2674,274,2679,5
2319,783,2324,3
379,283,384,1
2185,553,2190,2
2679,183,2684,2
2769,561,2774,6
1495,151,1500,1
2780,476,2785,5
1152,672,1157,0
846,654,851,1
1242,378,1247,0
727,535,732,0
2589,573,2594,4
1160,296,1165,5
920,440,925,0
1572,228,1577,0
1869,621,1874,1
1265,785,1270,0
773,677,778,0
2148,324,2153,4
1918,478,1923,1
453,453,458,0
420,420,425,0
1569,417,1574,3
1137,273,1142,4
1544,296,1549,0
470,278,475,1
1693,445,1698,1
980,596,985,1
1265,593,1270,0
350,254,355,0
506,314,511,1
2418,210,2423,1
488,392,493,0
1016,536,1021,0
1262,398,1267,0
2237,701,2242,2
2408,584,2413,7
698,602,703,0
2555,539,2560,3
1362,882,1367,0
2375,839,2380,3
803,611,808,0
1792,448,1797,0
2781,765,2786,6
737,449,742,1
424,232,429,0
2444,332,2449,2
1519,463,1524,0
513,225,518,2
1610,554,1615,1
1385,521,1390,2
458,266,463,1
1028,836,1033,0
2266,346,2271,5
2026,490,2031,2
598,406,603,0
271,175,276,1
1271,599,1276,1
1015,631,1020,0
1973,437,1978,3
1551,495,1556,1
626,626,631,0
1747,307,1752,1
732,348,737,0
1977,345,1982,1
540,444,545,0
261,261,266,0
1048,472,1053,1
758,470,763,0
1245,477,1250,2
2357,629,2362,3
1888,640,1893,0
1552,304,1557,0
479,287,484,0
165,165,170,0
460,364,465,1
2236,412,2241,1
404,116,409,2
988,316,993,2
205,205,210,0
520,424,525,0
2199,279,2204,1
740,356,745,0
2146,418,2151,1
962,482,967,0
2642,434,2647,3
1811,755,1816,1
1450,490,1455,0
975,591,980,0
1718,566,1723,1
2247,615,2252,0
976,208,981,2
333,333,338,0
2585,569,2590,2
1653,309,1658,1
2242,322,2247,2
1460,596,1465,0
940,460,945,0
1034,458,1039,1
800,416,805,0
480,288,485,0
2614,406,2619,2
199,199,204,0
903,423,908,1
111,111,116,0
850,658,855,0
2781,477,2786,3
231,231,236,0
1442,674,1447,1
2009,569,2014,1
524,428,529,0
2402,290,2407,8
825,633,830,0
2608,304,2613,4
2058,522,2063,1
2010,474,2015,0
378,378,383,0
2879,383,2884,6
