initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
2,52,0,2,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
1,53,0,1,0,0
0,54,0,0,0,0
3,51,0,3,0,0
0,54,0,0,0,0
0,54,0,0,0,0
4,51,1,2,0,0.0185185
1,53,0,1,0,0
2,52,0,2,0,0
1,53,0,1,0,0
2,52,0,2,0,0
6,48,0,6,0,0
2,52,0,2,0,0
7,48,1,5,0,0.0185185
3,52,1,1,0,0.0185185
7,48,1,5,0,0.0185185
3,51,0,3,0,0
5,50,1,3,0,0.0185185
5,50,1,3,0,0.0185185
2,52,0,2,0,0
5,50,1,3,0,0.0185185
5,49,0,5,0,0
3,51,0,3,0,0
4,50,0,4,0,0
6,48,0,6,0,0
6,48,0,6,0,0
7,47,0,7,0,0
4,50,0,4,0,0
5,50,1,3,0,0.0185185
7,48,1,5,0,0.0185185
6,49,1,4,0,0.0185185
7,48,1,5,0,0.0185185
8,46,0,8,0,0
7,48,1,5,0,0.0185185
7,47,0,7,0,0
5,49,0,5,0,0
7,48,1,5,0,0.0185185
10,45,1,8,0,0.0185185
6,49,1,4,0,0.0185185
6,48,0,6,0,0
11,44,1,9,0,0.0185185
3,51,0,3,0,0
5,49,0,5,0,0
12,45,3,6,0,0.0555556
6,48,0,6,0,0
10,46,2,6,0,0.037037
11,44,1,9,0,0.0185185
11,43,0,11,0,0
15,40,1,13,0,0.0185185
10,45,1,8,0,0.0185185
12,42,0,12,0,0
12,43,1,10,0,0.0185185
12,44,2,8,0,0.037037
11,44,1,9,0,0.0185185
16,40,1,13,0,0.0185185
11,44,1,9,0,0.0185185
10,45,1,8,0,0.0185185
15,40,1,13,0,0.0185185
15,42,3,9,0,0.0555556
16,40,2,12,0,0.037037
17,39,2,13,0,0.037037
19,38,3,13,0,0.0555556
19,37,2,15,0,0.037037
16,41,3,10,0,0.0555556
17,42,5,7,0,0.0925926
17,38,1,15,0,0.0185185
15,40,1,13,0,0.0185185
22,36,3,15,0,0.0555556
15,39,0,15,0,0
12,42,0,12,0,0
17,40,3,11,0,0.0555556
24,34,4,16,0,0.0740741
21,34,1,19,0,0.0185185
20,36,2,16,0,0.037037
21,36,3,15,0,0.0555556
16,41,2,11,0,0.037037
22,36,4,14,0,0.0740741
23,36,4,14,0,0.0740741
18,40,4,10,0,0.0740741
19,36,1,17,0,0.0185185
16,38,0,16,0,0
19,39,3,12,0,0.0555556
21,38,3,13,0,0.0555556
25,33,4,17,0,0.0740741
28,31,3,20,0,0.0555556
23,35,3,16,0,0.0555556
24,32,2,20,0,0.037037
31,26,3,25,0,0.0555556
31,30,7,17,0,0.12963
25,38,5,11,0,0.0925926
24,36,6,12,0,0.111111
31,31,7,16,0,0.12963
29,33,7,14,0,0.12963
38,23,7,22,2,0.12963
19,37,2,15,0,0.037037
24,36,5,13,0,0.0925926
33,28,7,19,0,0.12963
29,31,5,18,0,0.0925926
26,35,7,12,0,0.12963
23,34,3,17,0,0.0555556
32,31,8,15,0,0.148148
28,29,3,22,0,0.0555556
34,33,10,11,0,0.185185
33,26,4,24,0,0.0740741
36,24,6,23,1,0.111111
40,25,9,20,0,0.166667
23,35,4,15,0,0.0740741
33,32,10,12,0,0.185185
32,28,5,21,0,0.0925926
37,25,8,21,0,0.148148
36,28,8,18,0,0.148148
32,28,5,21,0,0.0925926
28,32,5,17,0,0.0925926
38,21,4,26,3,0.0740741
40,27,11,16,0,0.203704
34,26,6,22,0,0.111111
39,26,7,21,0,0.12963
28,31,4,19,0,0.0740741
39,27,10,17,0,0.185185
38,29,10,15,0,0.185185
36,27,8,19,0,0.148148
35,28,7,19,0,0.12963
45,23,8,22,1,0.148148
29,30,4,20,0,0.0740741
49,19,13,17,5,0.240741
51,19,10,20,5,0.185185
44,23,12,18,1,0.222222
56,19,16,16,3,0.296296
31,28,4,22,0,0.0740741
36,28,7,19,0,0.12963
36,28,7,19,0,0.12963
36,25,7,22,0,0.12963
43,26,12,16,0,0.222222
54,20,16,16,2,0.296296
34,26,6,22,0,0.111111
37,26,8,20,0,0.148148
40,23,9,21,1,0.166667
53,25,17,12,0,0.314815
43,21,6,23,4,0.111111
43,26,10,18,0,0.185185
48,21,11,19,3,0.203704
50,20,12,20,2,0.222222
52,22,16,16,0,0.296296
55,15,12,22,5,0.222222
55,18,15,19,2,0.277778
53,18,16,17,3,0.296296
35,30,8,16,0,0.148148
52,18,11,21,4,0.203704
50,26,12,16,0,0.222222
45,25,12,17,0,0.222222
49,23,14,16,1,0.259259
53,21,16,17,0,0.296296
49,22,12,19,1,0.222222
45,26,10,18,0,0.185185
54,14,13,21,6,0.240741
54,24,14,15,1,0.259259
50,20,11,20,3,0.203704
51,22,11,18,3,0.203704
53,24,14,16,0,0.259259
50,23,17,13,1,0.314815
55,21,16,15,2,0.296296
55,17,15,17,5,0.277778
53,19,15,16,4,0.277778
54,23,15,15,1,0.277778
53,14,11,18,11,0.203704
42,26,11,17,0,0.203704
57,17,12,19,6,0.222222
54,20,16,15,3,0.296296
49,21,11,18,4,0.203704
58,18,15,17,4,0.277778
52,22,15,15,2,0.277778
54,22,15,16,1,0.277778
48,20,12,18,4,0.222222
59,18,17,15,4,0.314815
52,24,15,15,0,0.277778
57,19,17,14,4,0.314815
53,20,14,18,2,0.259259
49,21,10,20,3,0.185185
54,16,14,18,6,0.259259
45,24,11,18,1,0.203704
55,21,15,15,3,0.277778
59,20,19,11,4,0.351852
56,20,18,14,2,0.333333
58,20,18,14,2,0.333333
56,17,15,18,4,0.277778
51,16,11,23,4,0.203704
49,19,13,18,4,0.240741
52,21,16,14,3,0.296296
59,17,18,15,4,0.333333
57,23,18,12,1,0.333333
45,23,10,21,0,0.185185
54,23,15,14,2,0.277778
54,23,17,13,1,0.314815
62,19,17,16,2,0.314815
54,20,16,15,3,0.296296
52,24,14,16,0,0.259259
58,18,11,21,4,0.203704
53,19,13,19,3,0.240741
54,19,12,20,3,0.222222
52,18,12,18,6,0.222222
50,21,13,18,2,0.240741
48,21,12,17,4,0.222222
54,21,13,17,3,0.240741
51,24,13,16,1,0.240741
53,21,16,16,1,0.296296
59,19,17,14,4,0.314815
56,18,15,16,5,0.277778
57,18,15,17,4,0.277778
47,22,11,18,3,0.203704
45,23,10,21,0,0.185185
59,21,17,15,1,0.314815
51,21,13,20,0,0.240741
50,26,12,16,0,0.222222
61,19,17,13,5,0.314815
46,23,10,19,2,0.185185
56,16,12,20,6,0.222222
49,22,12,19,1,0.222222
56,17,14,17,6,0.259259
62,12,16,17,9,0.296296
60,14,16,14,10,0.296296
52,21,12,19,2,0.222222
53,22,16,15,1,0.296296
55,22,14,17,1,0.259259
47,24,12,18,0,0.222222
58,15,17,17,5,0.314815
49,19,11,19,5,0.203704
56,19,14,19,2,0.259259
62,17,21,12,4,0.388889
54,23,15,14,2,0.277778
52,21,12,20,1,0.222222
53,20,14,17,3,0.259259
54,18,13,18,5,0.240741
55,19,13,17,5,0.240741
46,20,11,21,2,0.203704
55,21,15,16,2,0.277778
48,22,11,21,0,0.203704
58,19,19,13,3,0.351852
51,21,13,17,3,0.240741
62,19,20,14,1,0.37037
57,16,12,21,5,0.222222
47,21,12,18,3,0.222222
51,24,14,15,1,0.259259
59,18,17,14,5,0.314815
55,23,16,14,1,0.296296
59,18,19,13,4,0.351852
55,20,15,16,3,0.277778
39,28,11,15,0,0.203704
66,20,22,10,2,0.407407
57,21,17,14,2,0.314815
59,15,14,18,7,0.259259
67,17,19,13,5,0.351852
51,20,15,15,4,0.277778
64,15,14,22,3,0.259259
56,18,15,19,2,0.277778
58,20,17,14,3,0.314815
64,14,16,17,7,0.296296
39,26,10,18,0,0.185185
52,20,14,17,3,0.259259
52,20,11,20,3,0.203704
54,20,11,18,5,0.203704
52,18,14,17,5,0.259259
51,22,14,16,2,0.259259
58,17,17,16,4,0.314815
55,21,15,14,4,0.277778
51,21,14,18,1,0.259259
60,18,18,13,5,0.333333
56,22,14,17,1,0.259259
51,20,11,21,2,0.203704
50,18,10,22,4,0.185185
60,12,13,21,8,0.240741
57,18,18,15,3,0.333333
53,22,12,18,2,0.222222
64,16,17,17,4,0.314815
52,23,16,14,1,0.296296
51,18,12,18,6,0.222222
47,22,13,19,0,0.240741
55,18,12,20,4,0.222222
55,18,17,15,4,0.314815
63,20,17,15,2,0.314815
50,21,15,18,0,0.277778
43,28,12,14,0,0.222222
50,20,13,18,3,0.240741
56,18,12,18,6,0.222222
51,22,13,17,2,0.240741
50,20,14,17,3,0.259259
50,21,14,17,2,0.259259
59,16,18,15,5,0.333333
57,19,15,15,5,0.277778
58,17,14,18,5,0.259259
58,16,16,17,5,0.296296
68,14,18,16,6,0.333333
58,17,16,18,3,0.296296
46,22,11,19,2,0.203704
48,25,14,15,0,0.259259
49,21,13,17,3,0.240741
55,13,10,21,10,0.185185
50,25,17,12,0,0.314815
46,25,8,21,0,0.148148
63,17,19,16,2,0.351852
61,17,15,18,4,0.277778
56,18,15,18,3,0.277778
63,20,21,10,3,0.388889
53,21,13,18,2,0.240741
42,24,10,20,0,0.185185
55,19,16,16,3,0.296296
53,19,13,19,3,0.240741
61,20,20,11,3,0.37037
61,17,16,17,4,0.296296
58,19,16,17,2,0.296296
62,17,19,14,4,0.351852
54,22,16,14,2,0.296296
61,17,17,18,2,0.314815
56,15,13,20,6,0.240741
54,20,13,18,3,0.240741
55,20,14,16,4,0.259259
59,17,13,18,6,0.240741
51,22,13,16,3,0.240741
58,19,17,14,4,0.314815
51,18,10,20,6,0.185185
63,19,17,16,2,0.314815
53,20,13,18,3,0.240741
52,27,15,12,0,0.277778
55,15,12,19,8,0.222222
52,22,16,15,1,0.296296
63,17,15,17,5,0.277778
46,24,11,19,0,0.203704
56,22,15,14,3,0.277778
47,20,12,18,4,0.222222
51,18,11,20,5,0.203704
53,18,12,19,5,0.222222
64,15,16,17,6,0.296296
55,22,13,17,2,0.240741
52,18,14,16,6,0.259259
50,18,11,19,6,0.203704
65,15,17,15,7,0.314815
55,20,14,17,3,0.259259
47,24,14,15,1,0.259259
51,22,15,15,2,0.277778
60,17,19,14,4,0.351852
59,18,14,17,5,0.259259
52,16,11,22,5,0.203704
59,20,17,12,5,0.314815
53,18,13,17,6,0.240741
67,17,24,12,1,0.444444
47,21,10,20,3,0.185185
57,21,16,15,2,0.296296
55,17,15,19,3,0.277778
52,17,12,20,5,0.222222
54,19,12,18,5,0.222222
58,17,16,15,6,0.296296
63,16,19,15,4,0.351852
54,21,13,18,2,0.240741
57,18,13,18,5,0.240741
58,19,15,17,3,0.277778
54,22,12,19,1,0.222222
59,18,16,16,4,0.296296
55,21,17,15,1,0.314815
47,22,11,19,2,0.203704
45,22,11,19,2,0.203704
53,23,17,13,1,0.314815
